subject,kcal,x.mean,x.sd,x.cv,x.p10,x.p25,x.p50,x.p75,x.p90,x.skew,x.kurt,x.max,x.min,x.p2p,x.median,x.sum,x.mad,x.power,x.ACF,x.logen,x.iqr,x.vari,x.zeroc,x.Fas,x.Fan,x.FM,x.Faid,x.Fmax_0.25.5hz,x.FMmax_0.25.5hz,y.mean,y.sd,y.cv,y.p10,y.p25,y.p50,y.p75,y.p90,y.skew,y.kurt,y.max,y.min,y.p2p,y.median,y.sum,y.mad,y.power,y.ACF,y.logen,y.iqr,y.vari,y.zeroc,y.Fas,y.Fan,y.FM,y.Faid,y.Fmax_0.25.5hz,y.FMmax_0.25.5hz,z.mean,z.sd,z.cv,z.p10,z.p25,z.p50,z.p75,z.p90,z.skew,z.kurt,z.max,z.min,z.p2p,z.median,z.sum,z.mad,z.power,z.ACF,z.logen,z.iqr,z.vari,z.zeroc,z.Fas,z.Fan,z.FM,z.Faid,z.Fmax_0.25.5hz,z.FMmax_0.25.5hz,vm.mean,vm.sd,vm.cv,vm.p10,vm.p25,vm.p50,vm.p75,vm.p90,vm.skew,vm.kurt,vm.max,vm.min,vm.p2p,vm.median,vm.sum,vm.mad,vm.power,vm.ACF,vm.logen,vm.iqr,vm.vari,vm.zeroc,vm.Fas,vm.Fan,vm.FM,vm.Faid,vm.Fmax_0.25.5hz,vm.FMmax_0.25.5hz,xy,xz,yz
sample,2.217,0.478,0.212,0.443,0.215,0.308,0.463,0.606,0.809,0.38,-0.615,1.168,-0.02,1.188,31,477.719,0.222,273.04,0.989,-1708.579,0.298,0.045,2,0.59,16.949,0.059,144.843,0.3,0.066,0.812,0.172,0.212,0.547,0.69,0.855,0.938,0.973,-0.238,1.32,1.793,0.375,1.418,35,812.017,0.145,689.01,0.983,-467.253,0.248,0.03,0,0.242,45.455,0.022,77.868,0.3,0.059,0.122,0.14,1.151,-0.035,0.031,0.09,0.211,0.348,0.549,-0.329,0.559,-0.191,0.75,34,121.523,0.116,34.324,0.988,#NAME?,0.18,0.02,23,0.665,1.503,0.665,0,0.7,0.065,0.993,0.099,0.1,0.892,0.944,0.989,1.032,1.081,3.893,37.941,2.162,0.76,1.401,77,993.282,0.065,996.375,0.928,-21.954,0.088,0.01,0,0.017,346.154,0.003,1.862,1.7,0.055,-0.723,0.594,-0.486
sample,4.133,-0.29,0.532,-1.834,-0.836,-0.551,-0.273,0.021,0.305,-0.913,3.154,1.238,-3.02,4.258,122,-289.834,0.423,366.353,0.85,#NAME?,0.572,0.283,104,0.656,12.195,0.082,151.36,3.5,0.139,0.906,0.718,0.793,0.066,0.531,0.867,1.191,1.689,1.043,3.343,4.48,-0.895,5.375,122,905.745,0.486,1335.373,0.866,#NAME?,0.66,0.516,39,0.474,120.253,0.008,8.448,3.6,0.378,0.343,0.535,1.559,-0.18,0.022,0.297,0.551,0.914,1.523,6.426,4.203,-1.336,5.539,161,343.083,0.394,403.406,0.806,#NAME?,0.529,0.286,126,0.635,34.627,0.029,34.293,3.6,0.144,1.258,0.724,0.575,0.591,0.846,1.084,1.479,2.06,2.129,6.64,5.53,0.131,5.399,132,1257.748,0.463,2105.132,0.861,186.897,0.633,0.524,0,0.429,146.739,0.007,8.18,3.6,0.3,-0.296,-0.166,0.242
sample,1.733,0.182,0.132,0.722,0.051,0.117,0.182,0.246,0.34,-0.422,3.458,0.762,-0.523,1.285,67,182.264,0.095,50.533,0.953,#NAME?,0.129,0.017,12,0.665,1.503,0.665,0,0.3,0.047,0.956,0.098,0.103,0.852,0.914,0.965,0.996,1.055,0.142,6.309,1.633,0.484,1.149,98,955.831,0.058,923.241,0.89,-101.301,0.082,0.01,0,0.041,314.516,0.003,3.609,3.2,0.027,-0.111,0.176,-1.589,-0.32,-0.247,-0.119,0.039,0.105,-0.194,-0.501,0.305,-0.684,0.989,26,-110.992,0.216,43.413,0.983,#NAME?,0.286,0.031,33,0.665,1.503,0.665,0,0.3,0.076,1.004,0.092,0.092,0.914,0.967,0.997,1.035,1.105,1.208,7.741,1.65,0.593,1.057,129,1004.312,0.053,1017.187,0.881,0.44,0.068,0.009,0,0.029,383.721,0.003,2.737,4.9,0.025,-0.009,0.191,0.287
sample,0.617,0.17,0.017,0.099,0.148,0.16,0.168,0.18,0.195,0.283,-0.404,0.215,0.133,0.082,76,169.919,0.018,29.154,0.969,-3554.563,0.02,0,0,0.665,1.503,0.665,0,0.4,0.007,0.979,0.007,0.007,0.969,0.977,0.98,0.984,0.988,-0.477,2.262,1.012,0.949,0.063,177,979.139,0.006,958.765,0.829,-42.217,0.007,0,0,0,0,0,0,1.8,0.002,0.017,0.013,0.76,0,0.008,0.016,0.027,0.035,0.239,-0.514,0.047,-0.012,0.059,51,16.893,0.012,0.45,0.969,#NAME?,0.019,0,20,0.665,1.503,0.665,0,0.3,0.005,0.994,0.006,0.006,0.987,0.991,0.995,0.998,1.001,-0.104,2.792,1.025,0.969,0.057,224,994.148,0.005,988.369,0.781,-11.778,0.007,0,0,0,0,0,0,4.3,0.001,-0.467,0.312,-0.158
sample,0.883,0.056,0.023,0.405,0.023,0.039,0.059,0.074,0.082,-0.592,-0.492,0.098,-0.012,0.11,39,56.316,0.028,3.692,0.986,#NAME?,0.035,0.001,7,0.665,1.503,0.665,0,0.3,0.012,0.963,0.009,0.009,0.953,0.957,0.961,0.965,0.973,0.86,2.145,1,0.926,0.074,181,962.952,0.006,927.353,0.874,-75.585,0.008,0,0,0,0,0,0,0.4,0.004,-0.252,0.02,-0.078,-0.273,-0.263,-0.254,-0.246,-0.23,1.061,1.717,-0.184,-0.309,0.125,56,-251.735,0.012,63.759,0.978,-2765.333,0.017,0,0,0.666,1.502,0.666,0,0.3,0.01,0.997,0.006,0.006,0.991,0.994,0.997,1.001,1.004,0.662,4.312,1.036,0.975,0.06,274,997.381,0.005,994.804,0.725,-5.278,0.007,0,0,0,0,0,0,0.4,0.002,-0.329,-0.088,0.703
sample,2.067,0.433,0.121,0.279,0.281,0.359,0.43,0.516,0.574,-0.189,0.309,0.754,0.043,0.711,77,432.791,0.116,201.911,0.968,-1773.516,0.157,0.015,0,0.665,1.503,0.665,0,0.3,0.055,0.851,0.094,0.111,0.734,0.777,0.844,0.914,0.98,0.322,-0.167,1.168,0.629,0.539,69,850.939,0.099,732.964,0.963,-334.985,0.137,0.009,0,0.202,133.663,0.007,11.447,0.3,0.056,-0.145,0.184,-1.274,-0.398,-0.254,-0.137,-0.023,0.074,-0.187,0.154,0.43,-0.574,1.004,26,-144.791,0.169,54.931,0.994,#NAME?,0.231,0.034,19,0.665,1.503,0.665,0,0.3,0.105,0.992,0.07,0.071,0.916,0.946,0.988,1.033,1.079,0.497,0.996,1.26,0.806,0.454,83,992.394,0.065,989.806,0.948,-20.237,0.087,0.005,0,0.008,500,0.002,1.414,2.3,0.033,-0.327,0.254,0.278
sample,2.917,0.193,0.544,2.825,-0.238,-0.055,0.09,0.301,0.665,3.215,16.883,4.559,-1.59,6.149,111,192.513,0.249,332.546,0.741,#NAME?,0.356,0.296,97,0.656,13.72,0.073,124.176,3.7,0.147,0.944,0.674,0.714,0.006,0.772,0.965,1.141,1.656,0.668,3.154,4.398,-0.727,5.125,115,944.096,0.267,1344.772,0.858,-411.386,0.369,0.454,42,0.338,94.675,0.011,13.529,3.7,0.477,-0.157,0.319,-2.023,-0.492,-0.29,-0.148,-0.016,0.16,-0.516,7.706,1.465,-2.359,3.824,133,-157.478,0.202,126.229,0.626,#NAME?,0.274,0.102,116,0.665,1.503,0.665,0,3.7,0.078,1.177,0.647,0.55,0.559,0.916,1.008,1.259,1.856,2.224,6.81,4.87,0.152,4.719,104,1176.981,0.25,1803.547,0.822,80.15,0.343,0.419,0,0.321,118.257,0.008,12.081,3.7,0.395,0.065,-0.092,0.012
sample,1.55,0.104,0.12,1.157,-0.031,0.031,0.102,0.152,0.266,0.613,1.808,0.754,-0.258,1.012,70,103.924,0.093,25.249,0.948,#NAME?,0.121,0.014,51,0.665,1.503,0.665,0,2.1,0.054,0.985,0.133,0.135,0.855,0.918,0.98,1.008,1.152,1.01,3.108,1.578,0.523,1.055,90,984.866,0.07,987.615,0.944,-47.921,0.09,0.018,0,0.093,278.571,0.004,2.699,2.5,0.047,0.059,0.129,2.2,-0.09,-0.004,0.047,0.121,0.227,0.476,1.722,0.645,-0.332,0.977,59,58.668,0.093,20.09,0.975,#NAME?,0.125,0.017,46,0.665,1.503,0.665,0,0.4,0.077,1.007,0.135,0.134,0.874,0.948,0.992,1.033,1.168,1.467,4.13,1.734,0.662,1.073,99,1007.321,0.062,1032.953,0.945,-1.935,0.084,0.018,0,0.085,281.25,0.004,2.899,2.5,0.049,0.129,0.275,0.061
sample,1.933,0.372,0.166,0.446,0.125,0.246,0.387,0.488,0.578,-0.193,-0.564,0.773,-0.043,0.816,88,372.148,0.168,165.983,0.961,#NAME?,0.242,0.028,6,0.665,1.503,0.665,0,0.4,0.093,0.894,0.161,0.18,0.699,0.809,0.902,0.977,1.059,0.364,2.344,1.609,0.355,1.254,105,894.45,0.116,825.893,0.945,-256.723,0.168,0.026,0,0.175,206.107,0.005,5.834,3.1,0.053,0.03,0.169,5.665,-0.176,-0.082,0.02,0.148,0.242,-0.005,0.021,0.539,-0.488,1.027,39,29.761,0.168,29.28,0.982,#NAME?,0.23,0.028,47,0.665,1.503,0.665,0,0.3,0.078,0.999,0.154,0.155,0.831,0.937,0.991,1.046,1.162,0.93,3.939,1.741,0.513,1.228,126,998.655,0.082,1021.156,0.943,-25.967,0.11,0.024,0,0.101,238.411,0.004,4.091,2.3,0.049,-0.066,0.389,-0.055
sample,1.317,-0.144,0.036,-0.247,-0.188,-0.172,-0.148,-0.125,-0.094,0.588,-0.106,-0.047,-0.227,0.18,37,-144.403,0.036,22.121,0.988,-3945.485,0.047,0.001,0,0.665,1.503,0.665,0,0.6,0.019,0.978,0.008,0.008,0.969,0.973,0.977,0.981,0.988,0.268,3.097,1.012,0.945,0.067,176,978.281,0.006,957.1,0.853,-43.985,0.008,0,0,0,0,0,0,4.8,0.003,0.167,0.026,0.154,0.133,0.152,0.168,0.184,0.203,-0.352,-0.072,0.223,0.082,0.141,43,167.265,0.024,28.644,0.985,-3602.068,0.032,0.001,0,0.665,1.503,0.665,0,0.6,0.021,1.004,0.008,0.008,0.995,1,1.004,1.008,1.012,-0.27,2.954,1.038,0.965,0.074,193,1003.89,0.006,1007.866,0.859,7.696,0.009,0,0,0,0,0,0,4.8,0.003,-0.075,0.687,-0.161
