subject,kcal,x.mean,x.sd,x.cv,x.p10,x.p25,x.p50,x.p75,x.p90,x.skew,x.kurt,x.max,x.min,x.p2p,x.median,x.sum,x.mad,x.power,x.ACF,x.logen,x.iqr,x.vari,x.zeroc,x.Fas,x.Fan,x.FM,x.Faid,x.Fmax_0.25.5hz,x.FMmax_0.25.5hz,y.mean,y.sd,y.cv,y.p10,y.p25,y.p50,y.p75,y.p90,y.skew,y.kurt,y.max,y.min,y.p2p,y.median,y.sum,y.mad,y.power,y.ACF,y.logen,y.iqr,y.vari,y.zeroc,y.Fas,y.Fan,y.FM,y.Faid,y.Fmax_0.25.5hz,y.FMmax_0.25.5hz,z.mean,z.sd,z.cv,z.p10,z.p25,z.p50,z.p75,z.p90,z.skew,z.kurt,z.max,z.min,z.p2p,z.median,z.sum,z.mad,z.power,z.ACF,z.logen,z.iqr,z.vari,z.zeroc,z.Fas,z.Fan,z.FM,z.Faid,z.Fmax_0.25.5hz,z.FMmax_0.25.5hz,vm.mean,vm.sd,vm.cv,vm.p10,vm.p25,vm.p50,vm.p75,vm.p90,vm.skew,vm.kurt,vm.max,vm.min,vm.p2p,vm.median,vm.sum,vm.mad,vm.power,vm.ACF,vm.logen,vm.iqr,vm.vari,vm.zeroc,vm.Fas,vm.Fan,vm.FM,vm.Faid,vm.Fmax_0.25.5hz,vm.FMmax_0.25.5hz,xy,xz,yz
sample,2.217,0.608,0.318,0.523,0.336,0.465,0.57,0.707,0.961,1.039,8.895,2.707,-1.215,3.922,74,608.064,0.173,470.91,0.928,-1215.669,0.242,0.101,4,0.587,42.565,0.023,51.425,1.5,0.108,0.72,0.271,0.376,0.445,0.608,0.734,0.852,0.988,-0.376,4.588,2.16,-0.523,2.683,69,719.826,0.179,591.462,0.942,#NAME?,0.244,0.073,6,0.455,81.259,0.012,13.88,3.4,0.094,-0.161,0.229,-1.429,-0.352,-0.289,-0.199,-0.031,0.09,0.427,3.783,0.957,-1.504,2.461,67,-160.508,0.163,78.354,0.918,#NAME?,0.258,0.053,46,0.665,3.009,0.332,116.673,1.9,0.06,1.037,0.256,0.247,0.834,0.926,0.983,1.078,1.324,2.209,8.986,2.709,0.179,2.53,104,1036.997,0.106,1140.726,0.913,20.34,0.153,0.065,0,0.147,211.364,0.005,4.791,2,0.085,-0.377,0.073,0.055
sample,4.133,0.437,0.99,2.268,-0.473,-0.064,0.346,0.86,1.617,0.466,2.419,4.348,-2.719,7.067,63,436.782,0.672,1170.744,0.97,#NAME?,0.924,0.981,47,0.591,38.939,0.026,37.395,1.7,0.409,1.123,0.966,0.861,0.258,0.562,0.98,1.492,2.141,1.743,6.053,6.465,-0.965,7.43,70,1122.765,0.666,2193.254,0.968,-209.176,0.93,0.934,19,0.507,102.497,0.01,12.177,2.1,0.365,-0.024,0.515,-21.212,-0.582,-0.359,-0.082,0.274,0.606,0.628,1.317,1.891,-1.637,3.528,62,-24.287,0.458,265.73,0.964,#NAME?,0.633,0.265,68,0.643,15.544,0.064,122.293,1.7,0.197,1.604,1.029,0.641,0.681,0.948,1.299,1.965,2.899,2.077,5.992,7.34,0.23,7.109,72,1603.939,0.663,3629.728,0.976,619.463,1.017,1.058,0,0.483,107.735,0.009,18.335,2.1,0.364,-0.002,-0.189,0.246
sample,1.733,0.594,0.255,0.429,0.324,0.387,0.512,0.81,0.949,0.432,-0.695,1.348,-0.004,1.352,21,593.977,0.267,417.598,0.992,-1258.942,0.423,0.065,2,0.502,33.865,0.03,133.085,0.3,0.066,0.58,0.392,0.677,-0.015,0.324,0.746,0.871,0.953,-0.986,0.2,1.211,-0.602,1.813,20,579.899,0.301,490.128,0.995,-1221.331,0.547,0.154,8,0.411,34.036,0.029,78.618,0.3,0.158,0.096,0.358,3.732,-0.332,-0.211,-0.039,0.384,0.621,0.507,-0.831,1.043,-0.383,1.426,9,95.814,0.397,136.91,0.995,-2919.751,0.595,0.128,3,0.646,4.644,0.215,224.158,0.3,0.138,1.014,0.127,0.125,0.898,0.945,0.991,1.072,1.172,0.335,2.725,1.544,0.459,1.085,63,1014.185,0.091,1044.636,0.958,12.173,0.127,0.016,0,0.065,229.592,0.004,3.502,1.7,0.053,-0.773,0.715,-0.661
sample,0.617,0.455,0.042,0.091,0.41,0.449,0.461,0.473,0.488,-1.231,3.967,0.609,0.285,0.324,76,455.183,0.018,208.913,0.963,-1583.336,0.024,0.002,0,0.665,1.503,0.665,0,0.3,0.018,0.665,0.085,0.128,0.516,0.609,0.711,0.727,0.738,-0.906,-0.792,0.797,0.496,0.301,46,664.594,0.04,448.934,0.993,-835.196,0.118,0.007,0,0.665,1.503,0.665,0,0.6,0.017,0.584,0.099,0.169,0.484,0.504,0.535,0.684,0.742,0.546,-1.276,0.785,0.363,0.422,16,583.844,0.076,350.599,0.994,-1103.652,0.18,0.01,0,0.665,1.505,0.665,0,0.4,0.019,1.004,0.021,0.021,0.983,0.993,1.003,1.014,1.026,0.523,13,1.164,0.847,0.317,119,1003.994,0.016,1008.446,0.874,7.537,0.021,0,0,0,0,0,0,1.5,0.005,-0.181,-0.109,-0.895
sample,0.883,0.887,0.04,0.046,0.84,0.867,0.895,0.902,0.926,-0.077,2.101,1.082,0.75,0.332,119,887.086,0.022,788.555,0.931,-241.718,0.035,0.002,0,0.021,338.71,0.003,3.69,0.3,0.015,0.432,0.051,0.119,0.383,0.41,0.426,0.453,0.504,-0.593,2,0.559,0.238,0.321,51,431.966,0.03,189.225,0.989,-1694.232,0.043,0.003,0,0.665,1.503,0.665,0,0.3,0.034,0.104,0.081,0.776,-0.02,0.07,0.109,0.164,0.195,-1.007,0.844,0.262,-0.188,0.45,42,104.026,0.076,17.328,0.993,#NAME?,0.094,0.007,8,0.665,1.503,0.665,0,0.3,0.038,0.997,0.027,0.027,0.967,0.991,0.998,1.003,1.019,0.928,7.068,1.189,0.888,0.3,201,997.187,0.01,995.108,0.879,-6.353,0.013,0.001,0,0,0,0,0,4.8,0.008,-0.679,-0.007,0.177
sample,2.067,-0.274,0.514,-1.88,-0.813,-0.727,-0.365,0.055,0.523,0.578,-0.82,1.07,-1.254,2.324,26,-273.705,0.559,339.343,0.991,#NAME?,0.782,0.265,30,0.653,6.129,0.163,276.949,0.3,0.174,-0.239,0.558,-2.33,-0.852,-0.695,-0.393,0.207,0.652,0.64,-0.728,1.34,-1.148,2.488,31,-239.238,0.582,367.731,0.993,#NAME?,0.902,0.311,9,0.641,7.796,0.128,379.177,0.4,0.255,-0.49,0.219,-0.448,-0.738,-0.602,-0.508,-0.352,-0.187,-0.331,1.019,0.035,-1.297,1.332,63,-489.588,0.173,287.734,0.982,-1728.646,0.25,0.048,4,0.666,1.502,0.666,0,0.4,0.081,0.99,0.124,0.125,0.869,0.936,0.982,1.034,1.106,1.359,7.35,1.855,0.613,1.242,149,989.649,0.073,994.807,0.912,-35.708,0.098,0.015,0,0.062,258.065,0.004,2.344,1.4,0.052,0.4,-0.197,-0.131
sample,2.917,0.692,0.726,1.048,-0.111,0.409,0.719,1.023,1.48,-0.84,3.163,2.902,-2.926,5.828,65,692.388,0.457,1005.863,0.961,#NAME?,0.614,0.527,24,0.509,78.637,0.013,22.406,3.7,0.323,0.541,0.944,1.747,-0.48,-0.148,0.545,0.988,1.578,0.983,2.786,5.281,-2.145,7.426,50,540.758,0.869,1183.528,0.964,#NAME?,1.136,0.892,32,0.545,60.588,0.017,37.384,3.7,0.46,0,0.558,1387.695,-0.715,-0.316,-0.01,0.227,0.664,1.22,3.927,2.895,-1.371,4.266,64,0.402,0.402,310.889,0.969,#NAME?,0.543,0.311,65,0.637,18.828,0.053,101.699,0.5,0.249,1.389,0.756,0.544,0.813,0.952,1.117,1.543,2.346,2.231,6.025,5.548,0.246,5.302,87,1388.947,0.336,2500.281,0.946,443.077,0.591,0.572,0,0.345,153.475,0.007,10.369,3.7,0.284,0.063,0.235,0.278
sample,1.55,0.195,0.181,0.93,-0.039,0.113,0.205,0.305,0.387,-0.545,1.966,0.75,-0.738,1.488,68,194.596,0.148,70.595,0.96,#NAME?,0.192,0.033,42,0.665,1.503,0.665,0,1.4,0.071,0.98,0.212,0.216,0.75,0.862,0.961,1.055,1.242,1.24,3.647,2.188,0.453,1.735,87,980.186,0.145,1005.606,0.926,-83.466,0.193,0.045,0,0.192,203.125,0.005,5.304,2.1,0.072,0.015,0.181,12.489,-0.191,-0.071,-0.008,0.103,0.242,0.166,2.286,0.625,-0.848,1.473,74,14.514,0.133,33.033,0.965,#NAME?,0.174,0.033,71,0.665,1.503,0.665,0,0.9,0.104,1.032,0.209,0.202,0.817,0.908,0.993,1.112,1.278,1.506,4.178,2.279,0.607,1.672,84,1032.328,0.141,1109.234,0.94,27.128,0.203,0.044,0,0.161,241.736,0.004,3.981,2.1,0.076,-0.218,0.047,0.126
sample,1.933,0.067,0.533,7.901,-0.602,-0.379,0.057,0.52,0.738,0.032,-0.336,1.832,-1.746,3.578,85,67.494,0.675,288.616,0.881,#NAME?,0.899,0.284,88,0.627,19.149,0.052,96.898,0.6,0.144,0.264,0.581,2.203,-0.465,-0.137,0.336,0.643,0.813,0.118,2.111,2.945,-2.25,5.195,77,263.687,0.544,406.698,0.801,#NAME?,0.78,0.338,66,0.631,30.127,0.033,71.328,0.8,0.161,-0.483,0.855,-1.771,-1.286,-0.832,-0.652,-0.437,0.771,1.382,2.687,2.742,-2.73,5.472,108,-483.028,0.301,964.278,0.874,#NAME?,0.395,0.732,49,0.651,10.758,0.093,120.055,2.7,0.359,1.182,0.513,0.435,0.732,0.923,1.003,1.353,1.955,1.391,2.419,3.939,0.036,3.903,108,1181.632,0.249,1659.593,0.825,154.847,0.43,0.264,0,0.317,126.05,0.008,10.007,1.6,0.137,0.353,-0.281,-0.3
sample,1.317,0.765,0.05,0.065,0.719,0.746,0.762,0.781,0.82,0.921,4.228,0.992,0.59,0.402,108,765.419,0.028,588.377,0.954,-538.837,0.035,0.003,0,0.571,33.256,0.03,105.86,0.5,0.014,0.557,0.051,0.091,0.484,0.527,0.578,0.59,0.602,-1.093,1.116,0.676,0.344,0.332,70,557.485,0.03,313.35,0.969,-1177.597,0.063,0.003,0,0.665,1.503,0.665,0,0.3,0.018,-0.24,0.08,-0.335,-0.359,-0.309,-0.215,-0.195,-0.168,-0.237,0.264,0.035,-0.457,0.492,51,-239.852,0.052,63.968,0.987,#NAME?,0.114,0.006,3,0.666,1.502,0.666,0,1.2,0.021,0.982,0.026,0.026,0.955,0.972,0.982,0.99,1.008,0.355,4.222,1.091,0.862,0.229,190,982.361,0.013,965.695,0.876,-36.275,0.018,0.001,0,0,0,0,0,2.3,0.007,-0.555,0.407,0.249
