------------ Data Table File Created By ActiGraph wGT3XBT ActiLife v6.10.1 Firmware v1.2.0 date format M/d/yyyy Filter Normal -----------
Serial Number: MOS2A03140238
Start Time 11:15:00
Start Date 6/30/2014
Epoch Period (hh:mm:ss) 00:00:01
Download Time 14:39:16
Download Date 6/30/2014
Current Memory Address: 0
Current Battery Voltage: 4.2     Mode = 61
--------------------------------------------------
Date, Time, Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude
6/30/2014,11:15:00,10,78,48,0,0,0,1,0,0,92.13
6/30/2014,11:15:01,0,47,13,0,0,0,1,0,0,48.76
6/30/2014,11:15:02,28,90,84,1,0,0,1,0,0,126.25
6/30/2014,11:15:03,40,26,39,2,84,0,1,0,0,61.62
6/30/2014,11:15:04,57,77,58,1,70,0,1,0,0,111.99
6/30/2014,11:15:05,10,74,13,1,129,0,1,0,0,75.8
6/30/2014,11:15:06,0,18,0,0,41,0,0,1,0,18
6/30/2014,11:15:07,0,0,0,0,0,0,0,1,0,0
6/30/2014,11:15:08,0,0,0,0,47,0,0,1,0,0
6/30/2014,11:15:09,0,0,0,0,41,0,0,1,0,0
6/30/2014,11:15:10,11,24,45,0,0,0,1,0,0,52.17
6/30/2014,11:15:11,40,81,37,2,0,0,1,0,0,97.62
6/30/2014,11:15:12,42,54,58,2,51,0,1,0,0,89.69
6/30/2014,11:15:13,20,21,38,2,0,0,1,0,0,47.8
6/30/2014,11:15:14,0,3,24,0,0,0,1,0,0,24.19
6/30/2014,11:15:15,0,0,2,0,0,0,1,0,0,2
6/30/2014,11:15:16,0,0,0,0,0,0,1,0,0,0
6/30/2014,11:15:17,0,0,0,0,0,0,1,0,0,0
6/30/2014,11:15:18,0,0,0,0,0,0,1,0,0,0
6/30/2014,11:15:19,0,0,0,0,0,0,1,0,0,0
6/30/2014,11:15:20,0,0,0,0,0,0,1,0,0,0
6/30/2014,11:15:21,0,0,0,0,41,0,1,0,0,0
6/30/2014,11:15:22,0,0,2,0,0,0,1,0,0,2
6/30/2014,11:15:23,0,24,18,0,45,0,1,0,0,30
6/30/2014,11:15:24,0,0,1,0,45,0,1,0,0,1
6/30/2014,11:15:25,0,0,0,0,47,0,1,0,0,0
6/30/2014,11:15:26,0,0,9,0,43,0,1,0,0,9
6/30/2014,11:15:27,0,0,0,0,49,0,1,0,0,0
6/30/2014,11:15:28,0,0,0,0,51,0,1,0,0,0
6/30/2014,11:15:29,0,0,0,0,51,0,1,0,0,0
6/30/2014,11:15:30,0,0,0,0,49,0,1,0,0,0
6/30/2014,11:15:31,0,0,0,0,49,0,1,0,0,0
6/30/2014,11:15:32,0,0,9,0,47,0,1,0,0,9
6/30/2014,11:15:33,0,2,24,0,47,0,0,1,0,24.08
6/30/2014,11:15:34,0,0,20,0,0,0,0,1,0,20
6/30/2014,11:15:35,0,0,0,0,0,0,0,1,0,0
6/30/2014,11:15:36,0,10,0,0,0,0,0,1,0,10
6/30/2014,11:15:37,0,0,0,0,0,0,1,0,0,0
6/30/2014,11:15:38,0,0,0,0,0,0,1,0,0,0
6/30/2014,11:15:39,0,0,0,0,0,0,1,0,0,0
6/30/2014,11:15:40,0,0,0,0,0,0,1,0,0,0
6/30/2014,11:15:41,0,0,0,0,0,0,1,0,0,0
6/30/2014,11:15:42,0,0,0,0,0,0,1,0,0,0
6/30/2014,11:15:43,0,0,0,0,0,0,1,0,0,0
6/30/2014,11:15:44,0,0,0,0,0,0,1,0,0,0
6/30/2014,11:15:45,0,0,0,0,0,0,1,0,0,0
6/30/2014,11:15:46,0,0,0,0,0,0,1,0,0,0
6/30/2014,11:15:47,0,0,0,0,41,0,1,0,0,0
6/30/2014,11:15:48,0,0,0,0,0,0,1,0,0,0
6/30/2014,11:15:49,0,0,0,0,0,0,1,0,0,0
6/30/2014,11:15:50,0,0,0,0,0,0,1,0,0,0
6/30/2014,11:15:51,0,0,0,0,0,0,1,0,0,0
6/30/2014,11:15:52,0,0,0,0,49,0,1,0,0,0
6/30/2014,11:15:53,0,0,0,0,49,0,1,0,0,0
6/30/2014,11:15:54,0,0,0,0,49,0,1,0,0,0
6/30/2014,11:15:55,0,0,0,0,47,0,1,0,0,0
6/30/2014,11:15:56,0,0,0,0,47,0,1,0,0,0
6/30/2014,11:15:57,0,0,0,0,47,0,1,0,0,0
6/30/2014,11:15:58,0,0,0,0,47,0,1,0,0,0
6/30/2014,11:15:59,0,0,0,0,49,0,1,0,0,0
6/30/2014,11:16:00,0,0,0,0,47,0,1,0,0,0
6/30/2014,11:16:01,0,0,0,0,49,0,1,0,0,0
6/30/2014,11:16:02,0,0,0,0,49,0,1,0,0,0
6/30/2014,11:16:03,0,0,6,0,51,0,1,0,0,6
6/30/2014,11:16:04,0,0,0,0,51,0,1,0,0,0
6/30/2014,11:16:05,0,0,0,0,0,0,1,0,0,0
6/30/2014,11:16:06,0,0,0,0,47,0,1,0,0,0
6/30/2014,11:16:07,0,0,0,0,47,0,1,0,0,0
6/30/2014,11:16:08,0,0,0,0,47,0,1,0,0,0
6/30/2014,11:16:09,0,0,0,0,47,0,1,0,0,0
6/30/2014,11:16:10,0,0,0,0,47,0,1,0,0,0
6/30/2014,11:16:11,0,0,0,0,41,0,1,0,0,0
6/30/2014,11:16:12,0,0,0,0,0,0,1,0,0,0
6/30/2014,11:16:13,0,7,0,0,41,0,1,0,0,7
6/30/2014,11:16:14,0,0,6,0,47,0,1,0,0,6
6/30/2014,11:16:15,0,0,25,0,43,0,0,1,0,25
6/30/2014,11:16:16,0,0,19,0,43,0,1,0,0,19
6/30/2014,11:16:17,0,0,0,0,0,0,1,0,0,0
6/30/2014,11:16:18,0,0,0,0,0,0,1,0,0,0
6/30/2014,11:16:19,0,0,0,0,0,0,1,0,0,0
6/30/2014,11:16:20,0,0,0,0,0,0,1,0,0,0
6/30/2014,11:16:21,0,10,0,0,0,0,1,0,0,10
6/30/2014,11:16:22,0,14,10,0,0,0,1,0,0,17.2
6/30/2014,11:16:23,0,0,0,0,0,0,0,1,0,0
6/30/2014,11:16:24,0,0,34,0,0,0,1,0,0,34
6/30/2014,11:16:25,0,0,0,0,41,0,1,0,0,0
6/30/2014,11:16:26,0,0,0,0,51,0,1,0,0,0
6/30/2014,11:16:27,0,0,0,0,51,0,1,0,0,0
6/30/2014,11:16:28,0,0,16,0,51,0,1,0,0,16
6/30/2014,11:16:29,0,0,5,0,47,0,0,1,0,5
6/30/2014,11:16:30,0,0,0,0,0,0,0,1,0,0
