"Time","DataCount (samples)","Interval (s)","ActivityCode (0=sedentary, 1= standing, 2=stepping)","CumulativeStepCount","Activity Score (MET.h)"
41820.4691319444,0,.5,1,0,1.944444E-04
41820.4691377315,5,107.1,0,0,.0371875
41820.4703773148,1076,21.9,1,0,8.516666E-03
41820.470630787,1295,1.5,2,1,1.305556E-03
41820.4706481481,1310,1.8,2,2,1.422222E-03
41820.4706689815,1328,12.2,1,2,4.744445E-03
41820.4708101852,1450,1.1,2,3,.00115
41820.4708229167,1461,.8,2,4,1.033333E-03
41820.4708321759,1469,2.5,2,5,1.694444E-03
41820.4708611111,1494,1.5,2,6,1.305556E-03
41820.4708784722,1509,.9,2,7,1.072222E-03
41820.4708888889,1518,135.6,1,7,5.273334E-02
41820.4724583333,2874,3.8,2,8,.0022
41820.4725023148,2912,1.5,1,8,5.833333E-04
41820.4725196759,2927,11.4,0,8,3.958333E-03
41820.4726516204,3041,197.4,1,8,7.676666E-02
41820.4749363426,5015,1.1,2,9,.00115
41820.4749490741,5026,1.1,2,10,.00115
41820.4749618056,5037,.9,2,11,1.072222E-03
41820.4749722222,5046,.9,2,12,1.072222E-03
41820.4749826389,5055,1,2,13,1.111111E-03
41820.474994213,5065,.9,2,14,1.072222E-03
41820.4750046296,5074,1,2,15,1.111111E-03
41820.4750162037,5084,.9,2,16,1.072222E-03
41820.4750266204,5093,1,2,17,1.111111E-03
41820.4750381944,5103,1,2,18,1.111111E-03
41820.4750497685,5113,1,2,19,1.111111E-03
41820.4750613426,5123,.9,2,20,1.072222E-03
41820.4750717593,5132,.9,2,21,1.072222E-03
41820.4750821759,5141,1,2,22,1.111111E-03
41820.47509375,5151,.9,2,23,1.072222E-03
41820.4751041667,5160,1,2,24,1.111111E-03
41820.4751157407,5170,1,2,25,1.111111E-03
41820.4751273148,5180,.9,2,26,1.072222E-03
41820.4751377315,5189,1,2,27,1.111111E-03
41820.4751493056,5199,.9,2,28,1.072222E-03
41820.4751597222,5208,1,2,29,1.111111E-03
41820.4751712963,5218,1,2,30,1.111111E-03
41820.4751828704,5228,1,2,31,1.111111E-03
41820.4751944444,5238,.9,2,32,1.072222E-03
41820.4752048611,5247,1,2,33,1.111111E-03
41820.4752164352,5257,1,2,34,1.111111E-03
41820.4752280093,5267,1,2,35,1.111111E-03
41820.4752395833,5277,1,2,36,1.111111E-03
41820.4752511574,5287,1,2,37,1.111111E-03
41820.4752627315,5297,4.7,2,38,.00255
41820.4753171296,5344,1.6,2,39,1.344444E-03
41820.4753356482,5360,25.7,1,39,9.994444E-03
41820.4756331019,5617,1.1,2,40,.00115
41820.4756458333,5628,7.3,1,40,2.838889E-03
41820.4757303241,5701,.9,2,41,1.072222E-03
41820.4757407407,5710,1,2,42,1.111111E-03
41820.4757523148,5720,.9,2,43,1.072222E-03
41820.4757627315,5729,.9,2,44,1.072222E-03
41820.4757731482,5738,1,2,45,1.111111E-03
41820.4757847222,5748,.9,2,46,1.072222E-03
41820.4757951389,5757,.9,2,47,1.072222E-03
41820.4758055556,5766,1,2,48,1.111111E-03
41820.4758171296,5776,.9,2,49,1.072222E-03
41820.4758275463,5785,1,2,50,1.111111E-03
41820.4758391204,5795,.9,2,51,1.072222E-03
41820.475849537,5804,1,2,52,1.111111E-03
41820.4758611111,5814,1,2,53,1.111111E-03
41820.4758726852,5824,1,2,54,1.111111E-03
41820.4758842593,5834,1,2,55,1.111111E-03
41820.4758958333,5844,1,2,56,1.111111E-03
41820.4759074074,5854,1.1,2,57,.00115
41820.4759201389,5865,1,2,58,1.111111E-03
41820.475931713,5875,1,2,59,1.111111E-03
41820.475943287,5885,1.1,2,60,.00115
41820.4759560185,5896,1,2,61,1.111111E-03
41820.4759675926,5906,1.1,2,62,.00115
41820.4759803241,5917,1.2,2,63,1.188889E-03
41820.475994213,5929,1.3,2,64,1.227778E-03
41820.4760092593,5942,1.1,2,65,.00115
41820.4760219907,5953,1,2,66,1.111111E-03
41820.4760335648,5963,1.1,2,67,.00115
41820.4760462963,5974,1,2,68,1.111111E-03
41820.4760578704,5984,1.2,2,69,1.188889E-03
41820.4760717593,5996,1.3,2,70,1.227778E-03
41820.4760868056,6009,1.1,2,71,.00115
41820.476099537,6020,4.5,2,72,2.472222E-03
41820.4761516204,6065,50,1,72,1.944444E-02
41820.4767303241,6565,1.4,2,73,1.266667E-03
41820.4767465278,6579,1.1,2,74,.00115
41820.4767592593,6590,.8,2,75,1.033333E-03
