Participant,Age,Marker,Game,RealTime,Time      ,mean_C_y,mean_C_x,mean_C_z,var_C_y,var_C_x,var_C_z,mean_LW_y,mean_LW_x,mean_LW_z,var_LW_y,var_LW_x,var_LW_z,mean_LK_y,mean_LK_x,mean_LK_z,var_LK_y,var_LK_x,var_LK_z,mean_LA_y,mean_LA_x,mean_LA_z,var_LA_y,var_LA_x,var_LA_z,mean_LH_y,mean_LH_x,mean_LH_z,var_LH_y,var_LH_x,var_LH_z,mean_RW_y,mean_RW_x,mean_RW_z,var_RW_y,var_RW_x,var_RW_z,mean_RK_y,mean_RK_x,mean_RK_z,var_RK_y,var_RK_x,var_RK_z,mean_RA_y,mean_RA_x,mean_RA_z,var_RA_y,var_RA_x,var_RA_z,mean_RH_y,mean_RH_x,mean_RH_z,var_RH_y,var_RH_x,var_RH_z
35,11,0,0,17:57:00,0,0.9,5.3,4,11.3,97.9,38.6,-1,0.1,0,0.1,0,0.1,82.1,73.3,47.1,12919.7,3770.1,2389.4,-0.1,0.8,-0.2,0.4,-0.4,0.4,0.9,5.3,4,11.3,97.9,38.6,-1,0.1,0,0.1,0,0.1,82.1,73.3,47.1,12919.7,3770.1,2389.4,-0.1,0.8,-0.2,0.4,-0.4,0.4,0.9,5.3,4,11.3,97.9,38.6
35,11,0,0,17:57:15,15,0,0,0,0,0,0,-1,0,0,0,0,0,5.4,0,0.7,373.1,0,6.7,-1,0,-0.2,0,0.1,0,0,0,0,0,0,0,-1,0,0,0,0,0,5.4,0,0.7,373.1,0,6.7,-1,0,-0.2,0,0.1,0,0,0,0,0,0,0
35,11,0,0,17:57:30,30,0,0,0,0,0,0,-1,0,0,0,0,0,2.3,9.1,9.1,26.8,224.9,375.1,-1,0.1,-0.1,0.1,0,0.1,0,0,0,0,0,0,-1,0,0,0,0,0,2.3,9.1,9.1,26.8,224.9,375.1,-1,0.1,-0.1,0.1,0,0.1,0,0,0,0,0,0
35,11,0,0,17:57:45,45,0,1.7,5.3,0,9.4,75.2,-1,0,0,0.1,0,0.1,0.1,8.1,7.5,0.3,96.6,198.6,-1,0.1,-0.2,0.1,0,0.1,0,1.7,5.3,0,9.4,75.2,-1,0,0,0.1,0,0.1,0.1,8.1,7.5,0.3,96.6,198.6,-1,0.1,-0.2,0.1,0,0.1,0,1.7,5.3,0,9.4,75.2
35,11,0,0,17:58:00,60,9.1,23,25.1,157.9,290.6,410.1,-1,0.2,0,0.2,0,0.1,78.5,86.9,64,1579.1,2021.6,1147,-1,0.3,-0.3,0.4,0.1,0.3,9.1,23,25.1,157.9,290.6,410.1,-1,0.2,0,0.2,0,0.1,78.5,86.9,64,1579.1,2021.6,1147,-1,0.3,-0.3,0.4,0.1,0.3,9.1,23,25.1,157.9,290.6,410.1
35,11,0,0,17:58:15,75,23.8,19.9,30.9,266.2,171.8,314.9,-1,0.3,0,0.2,0,0.2,155,126.4,96.7,6146.1,6764,3861.1,-1,0.6,-0.3,0.6,0.1,0.4,23.8,19.9,30.9,266.2,171.8,314.9,-1,0.3,0,0.2,0,0.2,155,126.4,96.7,6146.1,6764,3861.1,-1,0.6,-0.3,0.6,0.1,0.4,23.8,19.9,30.9,266.2,171.8,314.9
35,11,0,0,17:58:30,90,38.5,23.9,28.3,223.4,119.3,199.2,-1,0.3,-0.1,0.3,0,0.2,127.3,92.4,111.7,1977.5,1387.8,3727.8,-1.2,0.5,-0.2,0.4,0.1,0.4,38.5,23.9,28.3,223.4,119.3,199.2,-1,0.3,-0.1,0.3,0,0.2,127.3,92.4,111.7,1977.5,1387.8,3727.8,-1.2,0.5,-0.2,0.4,0.1,0.4,38.5,23.9,28.3,223.4,119.3,199.2
35,11,0,0,17:58:45,105,55.4,21.5,17.3,162.4,50.3,64.5,-1,0.4,-0.1,0.3,0,0.2,103.3,68.5,58.6,1263.6,535.6,371.3,-1.1,0.4,-0.2,0.3,0.1,0.2,55.4,21.5,17.3,162.4,50.3,64.5,-1,0.4,-0.1,0.3,0,0.2,103.3,68.5,58.6,1263.6,535.6,371.3,-1.1,0.4,-0.2,0.3,0.1,0.2,55.4,21.5,17.3,162.4,50.3,64.5
35,11,0,0,17:59:00,120,1.7,7.7,15.1,20.9,308.4,257.4,-1,0.1,-0.1,0.1,0,0.1,90.8,81.2,96.1,4604.6,5128.3,3111.6,-0.8,0.5,-0.2,0.5,-0.3,0.5,1.7,7.7,15.1,20.9,308.4,257.4,-1,0.1,-0.1,0.1,0,0.1,90.8,81.2,96.1,4604.6,5128.3,3111.6,-0.8,0.5,-0.2,0.5,-0.3,0.5,1.7,7.7,15.1,20.9,308.4,257.4
35,11,0,0,17:59:15,135,0.2,5,4.2,0.6,92.1,57.3,-1,0.1,0,0.1,0,0.1,26.4,25.2,30.1,2857.7,823.9,2218.5,-1,0.3,-0.2,0.3,0,0.3,0.2,5,4.2,0.6,92.1,57.3,-1,0.1,0,0.1,0,0.1,26.4,25.2,30.1,2857.7,823.9,2218.5,-1,0.3,-0.2,0.3,0,0.3,0.2,5,4.2,0.6,92.1,57.3
