variable,definition,Feature Set X,Feature Set X,Feature Set X,Feature Set X
MeanOrient_AGhipX,mean orientation in x-axis for the hip-worn ActiGraph,X,,,
MeanOrient_AGhipY,mean orientation in y-axis for the hip-worn ActiGraph,X,,,
MeanOrient_AGhipZ,mean orientation in z-axis for the hip-worn ActiGraph,X,,,
VarOrient_AGhipX,variance in orientation in x-axis for the hip-worn ActiGraph,X,,,
VarOrient_AGhipY,variance in orientation in y-axis for the hip-worn ActiGraph,X,,,
VarOrient_AGhipZ,variance in orientation in z-axis for the hip-worn ActiGraph,X,,,
Mean_AGhipX,mean acceleration in x-axis for the hip-worn ActiGraph,X,X,X,
Mean_AGhipY,mean acceleration in y-axis for the hip-worn ActiGraph,X,X,X,
Mean_AGhipZ,mean acceleration in z-axis for the hip-worn ActiGraph,X,X,X,
Var_AGhipX,variance in acceleration in x-axis for the hip-worn ActiGraph,X,X,X,
Var_AGhipY,variance in acceleration in y-axis for the hip-worn ActiGraph,X,X,X,
Var_AGhipZ,variance in acceleration in z-axis for the hip-worn ActiGraph,X,X,X,
Cov_AGhipX,covariance in acceleration in x-axis for the hip-worn ActiGraph,X,,,X
Cov_AGhipY,covariance in acceleration in y-axis for the hip-worn ActiGraph,X,,,X
Cov_AGhipZ,covariance in acceleration in z-axis for the hip-worn ActiGraph,X,,,X
Max_AGhipX,maximum acceleration in x-axis for the hip-worn ActiGraph,X,,X,
Max_AGhipY,maximum acceleration in y-axis for the hip-worn ActiGraph,X,,X,
Max_AGhipZ,maximum acceleration in z-axis for the hip-worn ActiGraph,X,,X,
Min_AGhipX,minimum acceleration in x-axis for the hip-worn ActiGraph,X,,X,
Min_AGhipY,minimum acceleration in y-axis for the hip-worn ActiGraph,X,,X,
Min_AGhipZ,minimum acceleration in z-axis for the hip-worn ActiGraph,X,,X,
TenPct_AGhipX,tenth percentile of acceleration in x-axis for the hip-worn ActiGraph,X,,,X
TenPct_AGhipY,tenth percentile of acceleration in y-axis for the hip-worn ActiGraph,X,,,X
TenPct_AGhipZ,tenth percentile of acceleration in z-axis for the hip-worn ActiGraph,X,,,X
TwentyFivePct_AGhipX,twenty fifth percentile of acceleration in x-axis for the hip-worn ActiGraph,X,,,X
TwentyFivePct_AGhipY,twenty fifth percentile of acceleration in y-axis for the hip-worn ActiGraph,X,,,X
TwentyFivePct_AGhipZ,twenty fifth percentile of acceleration in z-axis for the hip-worn ActiGraph,X,,,X
FiftyPct_AGhipX,fiftieth percentile of acceleration in x-axis for the hip-worn ActiGraph,X,,,X
FiftyPct_AGhipY,fiftieth percentile of acceleration in y-axis for the hip-worn ActiGraph,X,,,X
FiftyPct_AGhipZ,fiftieth percentile of acceleration in z-axis for the hip-worn ActiGraph,X,,,X
