MeanOrient_AGhipX,MeanOrient_AGhipY,MeanOrient_AGhipZ,VarOrient_AGhipX,VarOrient_AGhipY,VarOrient_AGhipZ,Mean_AGhipX,Mean_AGhipY,Mean_AGhipZ,Var_AGhipX,Var_AGhipY,Var_AGhipZ,Cov_AGhipX,Cov_AGhipY,Cov_AGhipZ,Max_AGhipX,Max_AGhipY,Max_AGhipZ,Min_AGhipX,Min_AGhipY,Min_AGhipZ,TenPct_AGhipX,TenPct_AGhipY,TenPct_AGhipZ,TwentyFivePct_AGhipX,TwentyFivePct_AGhipY,TwentyFivePct_AGhipZ,FiftyPct_AGhipX,FiftyPct_AGhipY,FiftyPct_AGhipZ,SeventyFivePct_AGhipX,SeventyFivePct_AGhipY,SeventyFivePct_AGhipZ,NinetyPct_AGhipX,NinetyPct_AGhipY,NinetyPct_AGhipZ,MeanOrient_AGthighX,MeanOrient_AGthighY,MeanOrient_AGthighZ,VarOrient_AGthighX,VarOrient_AGthighY,VarOrient_AGthighZ,Mean_AGthighX,Mean_AGthighY,Mean_AGthighZ,Var_AGthighX,Var_AGthighY,Var_AGthighZ,Cov_AGthighX,Cov_AGthighY,Cov_AGthighZ,Max_AGthighX,Max_AGthighY,Max_AGthighZ,Min_AGthighX,Min_AGthighY,Min_AGthighZ,TenPct_AGthighX,TenPct_AGthighY,TenPct_AGthighZ,TwentyFivePct_AGthighX,TwentyFivePct_AGthighY,TwentyFivePct_AGthighZ,FiftyPct_AGthighX,FiftyPct_AGthighY,FiftyPct_AGthighZ,SeventyFivePct_AGthighX,SeventyFivePct_AGthighY,SeventyFivePct_AGthighZ,NinetyPct_AGthighX,NinetyPct_AGthighY,NinetyPct_AGthighZ,MeanOrient_GEleftX,MeanOrient_GEleftY,MeanOrient_GEleftZ,VarOrient_GEleftX,VarOrient_GEleftY,VarOrient_GEleftZ,Mean_GEleftX,Mean_GEleftY,Mean_GEleftZ,Var_GEleftX,Var_GEleftY,Var_GEleftZ,Cov_GEleftX,Cov_GEleftY,Cov_GEleftZ,Max_GEleftX,Max_GEleftY,Max_GEleftZ,Min_GEleftX,Min_GEleftY,Min_GEleftZ,TenPct_GEleftX,TenPct_GEleftY,TenPct_GEleftZ,TwentyFivePct_GEleftX,TwentyFivePct_GEleftY,TwentyFivePct_GEleftZ,FiftyPct_GEleftX,FiftyPct_GEleftY,FiftyPct_GEleftZ,SeventyFivePct_GEleftX,SeventyFivePct_GEleftY,SeventyFivePct_GEleftZ,NinetyPct_GEleftX,NinetyPct_GEleftY,NinetyPct_GEleftZ,MeanOrient_GErightX,MeanOrient_GErightY,MeanOrient_GErightZ,VarOrient_GErightX,VarOrient_GErightY,VarOrient_GErightZ,Mean_GErightX,Mean_GErightY,Mean_GErightZ,Var_GErightX,Var_GErightY,Var_GErightZ,Cov_GErightX,Cov_GErightY,Cov_GErightZ,Max_GErightX,Max_GErightY,Max_GErightZ,Min_GErightX,Min_GErightY,Min_GErightZ,TenPct_GErightX,TenPct_GErightY,TenPct_GErightZ,TwentyFivePct_GErightX,TwentyFivePct_GErightY,TwentyFivePct_GErightZ,FiftyPct_GErightX,FiftyPct_GErightY,FiftyPct_GErightZ,SeventyFivePct_GErightX,SeventyFivePct_GErightY,SeventyFivePct_GErightZ,NinetyPct_GErightX,NinetyPct_GErightY,NinetyPct_GErightZ
0.78,0.05,-1.61,-1.36,-0.88,-1.32,-5.50E-01,6.00E-01,-5.82E-01,8.76E-02,1.88E-02,-6.60E-02,8.76E-02,1.88E-02,6.60E-02,-1.30E+00,5.29E-01,-7.73E-01,-1.30E+00,5.29E-01,-7.73E-01,-5.99E-01,5.76E-01,-6.23E-01,-5.75E-01,5.88E-01,-6.04E-01,-5.56E-01,5.99E-01,-5.88E-01,-5.32E-01,6.11E-01,-5.68E-01,-5.01E-01,6.23E-01,-5.53E-01,0.78,0.05,-1.61,-1.36,-0.88,-1.32,-5.50E-01,6.00E-01,-5.82E-01,8.76E-02,1.88E-02,-6.60E-02,8.76E-02,1.88E-02,6.60E-02,-1.30E+00,5.29E-01,-7.73E-01,-1.30E+00,5.29E-01,-7.73E-01,-5.99E-01,5.76E-01,-6.23E-01,-5.75E-01,5.88E-01,-6.04E-01,-5.56E-01,5.99E-01,-5.88E-01,-5.32E-01,6.11E-01,-5.68E-01,-5.01E-01,6.23E-01,-5.53E-01,0.78,0.05,-1.61,-1.36,-0.88,-1.32,-5.50E-01,6.00E-01,-5.82E-01,8.76E-02,1.88E-02,-6.60E-02,8.76E-02,1.88E-02,6.60E-02,-1.30E+00,5.29E-01,-7.73E-01,-1.30E+00,5.29E-01,-7.73E-01,-5.99E-01,5.76E-01,-6.23E-01,-5.75E-01,5.88E-01,-6.04E-01,-5.56E-01,5.99E-01,-5.88E-01,-5.32E-01,6.11E-01,-5.68E-01,-5.01E-01,6.23E-01,-5.53E-01,0.78,0.05,-1.61,-1.36,-0.88,-1.32,-5.50E-01,6.00E-01,-5.82E-01,8.76E-02,1.88E-02,-6.60E-02,8.76E-02,1.88E-02,6.60E-02,-1.30E+00,5.29E-01,-7.73E-01,-1.30E+00,5.29E-01,-7.73E-01,-5.99E-01,5.76E-01,-6.23E-01,-5.75E-01,5.88E-01,-6.04E-01,-5.56E-01,5.99E-01,-5.88E-01,-5.32E-01,6.11E-01,-5.68E-01,-5.01E-01,6.23E-01,-5.53E-01
1.48,-1.23,-0.3,1.74,-1.47,0.03,-5.59E-01,5.87E-01,-5.96E-01,1.58E-02,-8.60E-03,-1.33E-02,1.58E-02,8.60E-03,1.33E-02,-6.65E-01,5.64E-01,-6.39E-01,-6.65E-01,5.64E-01,-6.39E-01,-5.79E-01,5.76E-01,-6.12E-01,-5.71E-01,5.80E-01,-6.04E-01,-5.60E-01,5.88E-01,-5.96E-01,-5.48E-01,5.91E-01,-5.88E-01,-5.36E-01,5.99E-01,-5.80E-01,1.48,-1.23,-0.3,1.74,-1.47,0.03,-5.59E-01,5.87E-01,-5.96E-01,1.58E-02,-8.60E-03,-1.33E-02,1.58E-02,8.60E-03,1.33E-02,-6.65E-01,5.64E-01,-6.39E-01,-6.65E-01,5.64E-01,-6.39E-01,-5.79E-01,5.76E-01,-6.12E-01,-5.71E-01,5.80E-01,-6.04E-01,-5.60E-01,5.88E-01,-5.96E-01,-5.48E-01,5.91E-01,-5.88E-01,-5.36E-01,5.99E-01,-5.80E-01,1.48,-1.23,-0.3,1.74,-1.47,0.03,-5.59E-01,5.87E-01,-5.96E-01,1.58E-02,-8.60E-03,-1.33E-02,1.58E-02,8.60E-03,1.33E-02,-6.65E-01,5.64E-01,-6.39E-01,-6.65E-01,5.64E-01,-6.39E-01,-5.79E-01,5.76E-01,-6.12E-01,-5.71E-01,5.80E-01,-6.04E-01,-5.60E-01,5.88E-01,-5.96E-01,-5.48E-01,5.91E-01,-5.88E-01,-5.36E-01,5.99E-01,-5.80E-01,1.48,-1.23,-0.3,1.74,-1.47,0.03,-5.59E-01,5.87E-01,-5.96E-01,1.58E-02,-8.60E-03,-1.33E-02,1.58E-02,8.60E-03,1.33E-02,-6.65E-01,5.64E-01,-6.39E-01,-6.65E-01,5.64E-01,-6.39E-01,-5.79E-01,5.76E-01,-6.12E-01,-5.71E-01,5.80E-01,-6.04E-01,-5.60E-01,5.88E-01,-5.96E-01,-5.48E-01,5.91E-01,-5.88E-01,-5.36E-01,5.99E-01,-5.80E-01
-1.03,0.77,1.78,-1.35,0.54,0.72,-5.53E-01,5.85E-01,-6.03E-01,-1.51E-02,1.72E-02,3.06E-02,1.51E-02,8.58E-03,1.53E-02,-5.95E-01,5.60E-01,-6.47E-01,-5.95E-01,5.60E-01,-6.47E-01,-5.71E-01,5.72E-01,-6.23E-01,-5.64E-01,5.80E-01,-6.16E-01,-5.52E-01,5.84E-01,-6.04E-01,-5.40E-01,5.91E-01,-5.92E-01,-5.32E-01,5.95E-01,-5.84E-01,-1.03,0.77,1.78,-1.35,0.54,0.72,-5.53E-01,5.85E-01,-6.03E-01,-1.51E-02,1.72E-02,3.06E-02,1.51E-02,8.58E-03,1.53E-02,-5.95E-01,5.60E-01,-6.47E-01,-5.95E-01,5.60E-01,-6.47E-01,-5.71E-01,5.72E-01,-6.23E-01,-5.64E-01,5.80E-01,-6.16E-01,-5.52E-01,5.84E-01,-6.04E-01,-5.40E-01,5.91E-01,-5.92E-01,-5.32E-01,5.95E-01,-5.84E-01,-1.03,0.77,1.78,-1.35,0.54,0.72,-5.53E-01,5.85E-01,-6.03E-01,-1.51E-02,1.72E-02,3.06E-02,1.51E-02,8.58E-03,1.53E-02,-5.95E-01,5.60E-01,-6.47E-01,-5.95E-01,5.60E-01,-6.47E-01,-5.71E-01,5.72E-01,-6.23E-01,-5.64E-01,5.80E-01,-6.16E-01,-5.52E-01,5.84E-01,-6.04E-01,-5.40E-01,5.91E-01,-5.92E-01,-5.32E-01,5.95E-01,-5.84E-01,-1.03,0.77,1.78,-1.35,0.54,0.72,-5.53E-01,5.85E-01,-6.03E-01,-1.51E-02,1.72E-02,3.06E-02,1.51E-02,8.58E-03,1.53E-02,-5.95E-01,5.60E-01,-6.47E-01,-5.95E-01,5.60E-01,-6.47E-01,-5.71E-01,5.72E-01,-6.23E-01,-5.64E-01,5.80E-01,-6.16E-01,-5.52E-01,5.84E-01,-6.04E-01,-5.40E-01,5.91E-01,-5.92E-01,-5.32E-01,5.95E-01,-5.84E-01
-0.09,1.42,-1.53,-1.69,-0.25,0.63,-5.45E-01,5.87E-01,-6.09E-01,-1.56E-02,0.00E+00,-1.46E-02,1.56E-02,8.66E-03,1.46E-02,-6.14E-01,5.64E-01,-6.47E-01,-6.14E-01,5.64E-01,-6.47E-01,-5.64E-01,5.76E-01,-6.27E-01,-5.56E-01,5.80E-01,-6.20E-01,-5.44E-01,5.88E-01,-6.08E-01,-5.32E-01,5.91E-01,-6.00E-01,-5.29E-01,5.99E-01,-5.92E-01,-0.09,1.42,-1.53,-1.69,-0.25,0.63,-5.45E-01,5.87E-01,-6.09E-01,-1.56E-02,0.00E+00,-1.46E-02,1.56E-02,8.66E-03,1.46E-02,-6.14E-01,5.64E-01,-6.47E-01,-6.14E-01,5.64E-01,-6.47E-01,-5.64E-01,5.76E-01,-6.27E-01,-5.56E-01,5.80E-01,-6.20E-01,-5.44E-01,5.88E-01,-6.08E-01,-5.32E-01,5.91E-01,-6.00E-01,-5.29E-01,5.99E-01,-5.92E-01,-0.09,1.42,-1.53,-1.69,-0.25,0.63,-5.45E-01,5.87E-01,-6.09E-01,-1.56E-02,0.00E+00,-1.46E-02,1.56E-02,8.66E-03,1.46E-02,-6.14E-01,5.64E-01,-6.47E-01,-6.14E-01,5.64E-01,-6.47E-01,-5.64E-01,5.76E-01,-6.27E-01,-5.56E-01,5.80E-01,-6.20E-01,-5.44E-01,5.88E-01,-6.08E-01,-5.32E-01,5.91E-01,-6.00E-01,-5.29E-01,5.99E-01,-5.92E-01,-0.09,1.42,-1.53,-1.69,-0.25,0.63,-5.45E-01,5.87E-01,-6.09E-01,-1.56E-02,0.00E+00,-1.46E-02,1.56E-02,8.66E-03,1.46E-02,-6.14E-01,5.64E-01,-6.47E-01,-6.14E-01,5.64E-01,-6.47E-01,-5.64E-01,5.76E-01,-6.27E-01,-5.56E-01,5.80E-01,-6.20E-01,-5.44E-01,5.88E-01,-6.08E-01,-5.32E-01,5.91E-01,-6.00E-01,-5.29E-01,5.99E-01,-5.92E-01
-0.89,1.81,-0.96,0.05,0.6,0.62,-5.52E-01,5.86E-01,-6.04E-01,-1.41E-02,-9.10E-03,2.86E-02,1.41E-02,9.10E-03,1.43E-02,-5.99E-01,5.53E-01,-6.47E-01,-5.99E-01,5.53E-01,-6.47E-01,-5.71E-01,5.72E-01,-6.23E-01,-5.60E-01,5.80E-01,-6.16E-01,-5.52E-01,5.88E-01,-6.04E-01,-5.44E-01,5.91E-01,-5.96E-01,-5.32E-01,5.95E-01,-5.84E-01,-0.89,1.81,-0.96,0.05,0.6,0.62,-5.52E-01,5.86E-01,-6.04E-01,-1.41E-02,-9.10E-03,2.86E-02,1.41E-02,9.10E-03,1.43E-02,-5.99E-01,5.53E-01,-6.47E-01,-5.99E-01,5.53E-01,-6.47E-01,-5.71E-01,5.72E-01,-6.23E-01,-5.60E-01,5.80E-01,-6.16E-01,-5.52E-01,5.88E-01,-6.04E-01,-5.44E-01,5.91E-01,-5.96E-01,-5.32E-01,5.95E-01,-5.84E-01,-0.89,1.81,-0.96,0.05,0.6,0.62,-5.52E-01,5.86E-01,-6.04E-01,-1.41E-02,-9.10E-03,2.86E-02,1.41E-02,9.10E-03,1.43E-02,-5.99E-01,5.53E-01,-6.47E-01,-5.99E-01,5.53E-01,-6.47E-01,-5.71E-01,5.72E-01,-6.23E-01,-5.60E-01,5.80E-01,-6.16E-01,-5.52E-01,5.88E-01,-6.04E-01,-5.44E-01,5.91E-01,-5.96E-01,-5.32E-01,5.95E-01,-5.84E-01,-0.89,1.81,-0.96,0.05,0.6,0.62,-5.52E-01,5.86E-01,-6.04E-01,-1.41E-02,-9.10E-03,2.86E-02,1.41E-02,9.10E-03,1.43E-02,-5.99E-01,5.53E-01,-6.47E-01,-5.99E-01,5.53E-01,-6.47E-01,-5.71E-01,5.72E-01,-6.23E-01,-5.60E-01,5.80E-01,-6.16E-01,-5.52E-01,5.88E-01,-6.04E-01,-5.44E-01,5.91E-01,-5.96E-01,-5.32E-01,5.95E-01,-5.84E-01
0.95,-1.02,-0.36,-0.12,-1.17,-0.39,-5.52E-01,5.85E-01,-6.04E-01,1.38E-02,-8.32E-03,0.00E+00,1.38E-02,8.32E-03,1.30E-02,-5.95E-01,5.60E-01,-6.39E-01,-5.95E-01,5.60E-01,-6.39E-01,-5.71E-01,5.76E-01,-6.23E-01,-5.64E-01,5.80E-01,-6.12E-01,-5.52E-01,5.84E-01,-6.04E-01,-5.44E-01,5.91E-01,-5.96E-01,-5.36E-01,5.95E-01,-5.88E-01,0.95,-1.02,-0.36,-0.12,-1.17,-0.39,-5.52E-01,5.85E-01,-6.04E-01,1.38E-02,-8.32E-03,0.00E+00,1.38E-02,8.32E-03,1.30E-02,-5.95E-01,5.60E-01,-6.39E-01,-5.95E-01,5.60E-01,-6.39E-01,-5.71E-01,5.76E-01,-6.23E-01,-5.64E-01,5.80E-01,-6.12E-01,-5.52E-01,5.84E-01,-6.04E-01,-5.44E-01,5.91E-01,-5.96E-01,-5.36E-01,5.95E-01,-5.88E-01,0.95,-1.02,-0.36,-0.12,-1.17,-0.39,-5.52E-01,5.85E-01,-6.04E-01,1.38E-02,-8.32E-03,0.00E+00,1.38E-02,8.32E-03,1.30E-02,-5.95E-01,5.60E-01,-6.39E-01,-5.95E-01,5.60E-01,-6.39E-01,-5.71E-01,5.76E-01,-6.23E-01,-5.64E-01,5.80E-01,-6.12E-01,-5.52E-01,5.84E-01,-6.04E-01,-5.44E-01,5.91E-01,-5.96E-01,-5.36E-01,5.95E-01,-5.88E-01,0.95,-1.02,-0.36,-0.12,-1.17,-0.39,-5.52E-01,5.85E-01,-6.04E-01,1.38E-02,-8.32E-03,0.00E+00,1.38E-02,8.32E-03,1.30E-02,-5.95E-01,5.60E-01,-6.39E-01,-5.95E-01,5.60E-01,-6.39E-01,-5.71E-01,5.76E-01,-6.23E-01,-5.64E-01,5.80E-01,-6.12E-01,-5.52E-01,5.84E-01,-6.04E-01,-5.44E-01,5.91E-01,-5.96E-01,-5.36E-01,5.95E-01,-5.88E-01
0.76,1.03,0.85,-0.69,-0.36,-1.89,-5.55E-01,5.86E-01,-5.98E-01,1.57E-02,-8.09E-03,1.49E-02,1.57E-02,8.09E-03,1.49E-02,-6.49E-01,5.60E-01,-6.35E-01,-6.49E-01,5.60E-01,-6.35E-01,-5.75E-01,5.76E-01,-6.16E-01,-5.64E-01,5.80E-01,-6.08E-01,-5.56E-01,5.88E-01,-6.00E-01,-5.44E-01,5.91E-01,-5.88E-01,-5.36E-01,5.95E-01,-5.80E-01,0.76,1.03,0.85,-0.69,-0.36,-1.89,-5.55E-01,5.86E-01,-5.98E-01,1.57E-02,-8.09E-03,1.49E-02,1.57E-02,8.09E-03,1.49E-02,-6.49E-01,5.60E-01,-6.35E-01,-6.49E-01,5.60E-01,-6.35E-01,-5.75E-01,5.76E-01,-6.16E-01,-5.64E-01,5.80E-01,-6.08E-01,-5.56E-01,5.88E-01,-6.00E-01,-5.44E-01,5.91E-01,-5.88E-01,-5.36E-01,5.95E-01,-5.80E-01,0.76,1.03,0.85,-0.69,-0.36,-1.89,-5.55E-01,5.86E-01,-5.98E-01,1.57E-02,-8.09E-03,1.49E-02,1.57E-02,8.09E-03,1.49E-02,-6.49E-01,5.60E-01,-6.35E-01,-6.49E-01,5.60E-01,-6.35E-01,-5.75E-01,5.76E-01,-6.16E-01,-5.64E-01,5.80E-01,-6.08E-01,-5.56E-01,5.88E-01,-6.00E-01,-5.44E-01,5.91E-01,-5.88E-01,-5.36E-01,5.95E-01,-5.80E-01,0.76,1.03,0.85,-0.69,-0.36,-1.89,-5.55E-01,5.86E-01,-5.98E-01,1.57E-02,-8.09E-03,1.49E-02,1.57E-02,8.09E-03,1.49E-02,-6.49E-01,5.60E-01,-6.35E-01,-6.49E-01,5.60E-01,-6.35E-01,-5.75E-01,5.76E-01,-6.16E-01,-5.64E-01,5.80E-01,-6.08E-01,-5.56E-01,5.88E-01,-6.00E-01,-5.44E-01,5.91E-01,-5.88E-01,-5.36E-01,5.95E-01,-5.80E-01
-0.76,1.4,-1.61,1.15,-0.3,1.59,-5.55E-01,5.86E-01,-6.00E-01,6.40E-02,9.99E-03,0.00E+00,3.20E-02,9.99E-03,3.21E-02,-7.86E-01,5.56E-01,-7.22E-01,-7.86E-01,5.56E-01,-7.22E-01,-5.75E-01,5.76E-01,-6.20E-01,-5.64E-01,5.80E-01,-6.12E-01,-5.56E-01,5.88E-01,-6.00E-01,-5.44E-01,5.91E-01,-5.92E-01,-5.32E-01,5.95E-01,-5.84E-01,-0.76,1.4,-1.61,1.15,-0.3,1.59,-5.55E-01,5.86E-01,-6.00E-01,6.40E-02,9.99E-03,0.00E+00,3.20E-02,9.99E-03,3.21E-02,-7.86E-01,5.56E-01,-7.22E-01,-7.86E-01,5.56E-01,-7.22E-01,-5.75E-01,5.76E-01,-6.20E-01,-5.64E-01,5.80E-01,-6.12E-01,-5.56E-01,5.88E-01,-6.00E-01,-5.44E-01,5.91E-01,-5.92E-01,-5.32E-01,5.95E-01,-5.84E-01,-0.76,1.4,-1.61,1.15,-0.3,1.59,-5.55E-01,5.86E-01,-6.00E-01,6.40E-02,9.99E-03,0.00E+00,3.20E-02,9.99E-03,3.21E-02,-7.86E-01,5.56E-01,-7.22E-01,-7.86E-01,5.56E-01,-7.22E-01,-5.75E-01,5.76E-01,-6.20E-01,-5.64E-01,5.80E-01,-6.12E-01,-5.56E-01,5.88E-01,-6.00E-01,-5.44E-01,5.91E-01,-5.92E-01,-5.32E-01,5.95E-01,-5.84E-01,-0.76,1.4,-1.61,1.15,-0.3,1.59,-5.55E-01,5.86E-01,-6.00E-01,6.40E-02,9.99E-03,0.00E+00,3.20E-02,9.99E-03,3.21E-02,-7.86E-01,5.56E-01,-7.22E-01,-7.86E-01,5.56E-01,-7.22E-01,-5.75E-01,5.76E-01,-6.20E-01,-5.64E-01,5.80E-01,-6.12E-01,-5.56E-01,5.88E-01,-6.00E-01,-5.44E-01,5.91E-01,-5.92E-01,-5.32E-01,5.95E-01,-5.84E-01
-0.09,-0.23,0.94,-0.32,-0.73,-1.39,-5.23E-01,6.08E-01,-5.99E-01,0.00E+00,5.06E-02,0.00E+00,1.06E-01,2.53E-02,7.48E-02,-1.16E+00,4.48E-01,-8.28E-01,-1.16E+00,4.48E-01,-8.28E-01,-6.26E-01,5.84E-01,-6.71E-01,-5.71E-01,5.95E-01,-6.47E-01,-5.32E-01,6.07E-01,-6.00E-01,-4.74E-01,6.19E-01,-5.72E-01,-4.19E-01,6.34E-01,-5.17E-01,-0.09,-0.23,0.94,-0.32,-0.73,-1.39,-5.23E-01,6.08E-01,-5.99E-01,0.00E+00,5.06E-02,0.00E+00,1.06E-01,2.53E-02,7.48E-02,-1.16E+00,4.48E-01,-8.28E-01,-1.16E+00,4.48E-01,-8.28E-01,-6.26E-01,5.84E-01,-6.71E-01,-5.71E-01,5.95E-01,-6.47E-01,-5.32E-01,6.07E-01,-6.00E-01,-4.74E-01,6.19E-01,-5.72E-01,-4.19E-01,6.34E-01,-5.17E-01,-0.09,-0.23,0.94,-0.32,-0.73,-1.39,-5.23E-01,6.08E-01,-5.99E-01,0.00E+00,5.06E-02,0.00E+00,1.06E-01,2.53E-02,7.48E-02,-1.16E+00,4.48E-01,-8.28E-01,-1.16E+00,4.48E-01,-8.28E-01,-6.26E-01,5.84E-01,-6.71E-01,-5.71E-01,5.95E-01,-6.47E-01,-5.32E-01,6.07E-01,-6.00E-01,-4.74E-01,6.19E-01,-5.72E-01,-4.19E-01,6.34E-01,-5.17E-01,-0.09,-0.23,0.94,-0.32,-0.73,-1.39,-5.23E-01,6.08E-01,-5.99E-01,0.00E+00,5.06E-02,0.00E+00,1.06E-01,2.53E-02,7.48E-02,-1.16E+00,4.48E-01,-8.28E-01,-1.16E+00,4.48E-01,-8.28E-01,-6.26E-01,5.84E-01,-6.71E-01,-5.71E-01,5.95E-01,-6.47E-01,-5.32E-01,6.07E-01,-6.00E-01,-4.74E-01,6.19E-01,-5.72E-01,-4.19E-01,6.34E-01,-5.17E-01
0.57,-1.95,-1.48,-0.19,1.88,-0.55,-5.22E-01,6.10E-01,-6.05E-01,1.15E-01,-1.52E-02,0.00E+00,5.75E-02,1.52E-02,4.29E-02,-9.11E-01,5.21E-01,-7.69E-01,-9.11E-01,5.21E-01,-7.69E-01,-5.60E-01,5.95E-01,-6.39E-01,-5.44E-01,6.03E-01,-6.23E-01,-5.29E-01,6.11E-01,-6.04E-01,-5.09E-01,6.15E-01,-5.88E-01,-4.82E-01,6.26E-01,-5.72E-01,0.57,-1.95,-1.48,-0.19,1.88,-0.55,-5.22E-01,6.10E-01,-6.05E-01,1.15E-01,-1.52E-02,0.00E+00,5.75E-02,1.52E-02,4.29E-02,-9.11E-01,5.21E-01,-7.69E-01,-9.11E-01,5.21E-01,-7.69E-01,-5.60E-01,5.95E-01,-6.39E-01,-5.44E-01,6.03E-01,-6.23E-01,-5.29E-01,6.11E-01,-6.04E-01,-5.09E-01,6.15E-01,-5.88E-01,-4.82E-01,6.26E-01,-5.72E-01,0.57,-1.95,-1.48,-0.19,1.88,-0.55,-5.22E-01,6.10E-01,-6.05E-01,1.15E-01,-1.52E-02,0.00E+00,5.75E-02,1.52E-02,4.29E-02,-9.11E-01,5.21E-01,-7.69E-01,-9.11E-01,5.21E-01,-7.69E-01,-5.60E-01,5.95E-01,-6.39E-01,-5.44E-01,6.03E-01,-6.23E-01,-5.29E-01,6.11E-01,-6.04E-01,-5.09E-01,6.15E-01,-5.88E-01,-4.82E-01,6.26E-01,-5.72E-01,0.57,-1.95,-1.48,-0.19,1.88,-0.55,-5.22E-01,6.10E-01,-6.05E-01,1.15E-01,-1.52E-02,0.00E+00,5.75E-02,1.52E-02,4.29E-02,-9.11E-01,5.21E-01,-7.69E-01,-9.11E-01,5.21E-01,-7.69E-01,-5.60E-01,5.95E-01,-6.39E-01,-5.44E-01,6.03E-01,-6.23E-01,-5.29E-01,6.11E-01,-6.04E-01,-5.09E-01,6.15E-01,-5.88E-01,-4.82E-01,6.26E-01,-5.72E-01
