TenPct_AGthighX, TenPct_AGthighY, TenPct_AGthighZ, TwentyFivePct_AGthighX, TwentyFivePct_AGthighY, TwentyFivePct_AGthighZ, FiftyPct_AGthighX, FiftyPct_AGthighY, FiftyPct_AGthighZ, SeventyFivePct_AGthighX, SeventyFivePct_AGthighY, SeventyFivePct_AGthighZ, NinetyPct_AGthighX, NinetyPct_AGthighY, NinetyPct_AGthighZ
-5.99E-01,5.76E-01,-6.23E-01,-5.75E-01,5.88E-01,-6.04E-01,-5.56E-01,5.99E-01,-5.88E-01,-5.32E-01,6.11E-01,-5.68E-01,-5.01E-01,6.23E-01,-5.53E-01
-5.79E-01,5.76E-01,-6.12E-01,-5.71E-01,5.80E-01,-6.04E-01,-5.60E-01,5.88E-01,-5.96E-01,-5.48E-01,5.91E-01,-5.88E-01,-5.36E-01,5.99E-01,-5.80E-01
-5.71E-01,5.72E-01,-6.23E-01,-5.64E-01,5.80E-01,-6.16E-01,-5.52E-01,5.84E-01,-6.04E-01,-5.40E-01,5.91E-01,-5.92E-01,-5.32E-01,5.95E-01,-5.84E-01
-5.64E-01,5.76E-01,-6.27E-01,-5.56E-01,5.80E-01,-6.20E-01,-5.44E-01,5.88E-01,-6.08E-01,-5.32E-01,5.91E-01,-6.00E-01,-5.29E-01,5.99E-01,-5.92E-01
-5.71E-01,5.72E-01,-6.23E-01,-5.60E-01,5.80E-01,-6.16E-01,-5.52E-01,5.88E-01,-6.04E-01,-5.44E-01,5.91E-01,-5.96E-01,-5.32E-01,5.95E-01,-5.84E-01
-5.71E-01,5.76E-01,-6.23E-01,-5.64E-01,5.80E-01,-6.12E-01,-5.52E-01,5.84E-01,-6.04E-01,-5.44E-01,5.91E-01,-5.96E-01,-5.36E-01,5.95E-01,-5.88E-01
-5.75E-01,5.76E-01,-6.16E-01,-5.64E-01,5.80E-01,-6.08E-01,-5.56E-01,5.88E-01,-6.00E-01,-5.44E-01,5.91E-01,-5.88E-01,-5.36E-01,5.95E-01,-5.80E-01
-5.75E-01,5.76E-01,-6.20E-01,-5.64E-01,5.80E-01,-6.12E-01,-5.56E-01,5.88E-01,-6.00E-01,-5.44E-01,5.91E-01,-5.92E-01,-5.32E-01,5.95E-01,-5.84E-01
-6.26E-01,5.84E-01,-6.71E-01,-5.71E-01,5.95E-01,-6.47E-01,-5.32E-01,6.07E-01,-6.00E-01,-4.74E-01,6.19E-01,-5.72E-01,-4.19E-01,6.34E-01,-5.17E-01
-5.60E-01,5.95E-01,-6.39E-01,-5.44E-01,6.03E-01,-6.23E-01,-5.29E-01,6.11E-01,-6.04E-01,-5.09E-01,6.15E-01,-5.88E-01,-4.82E-01,6.26E-01,-5.72E-01
-7.51E-01,-5.41E-01,-8.52E-01,-6.42E-01,-5.14E-01,-8.01E-01,-5.87E-01,2.45E-01,-7.14E-01,-5.36E-01,2.92E-01,-6.12E-01,-4.66E-01,3.54E-01,-2.49E-01
-6.34E-01,-5.25E-01,-6.35E-01,-6.22E-01,-5.21E-01,-6.27E-01,-6.18E-01,-5.14E-01,-6.16E-01,-6.10E-01,-5.02E-01,-6.08E-01,-5.99E-01,-4.90E-01,-5.96E-01
-6.26E-01,-5.06E-01,-1.00E+00,-6.10E-01,-4.90E-01,-9.94E-01,-1.85E-01,-1.21E-01,-9.82E-01,-1.66E-01,-1.13E-01,-6.35E-01,-1.35E-01,-1.05E-01,-6.12E-01
-3.69E-01,-1.09E-01,-9.78E-01,-3.57E-01,-1.01E-01,-9.66E-01,-3.33E-01,-9.33E-02,-9.54E-01,-2.87E-01,-8.94E-02,-9.43E-01,-2.67E-01,-8.16E-02,-9.35E-01
-3.18E-01,-1.48E-01,-9.94E-01,-2.67E-01,-1.36E-01,-9.86E-01,-2.48E-01,-1.17E-01,-9.74E-01,-2.24E-01,-1.01E-01,-9.62E-01,-2.05E-01,-6.99E-02,-9.54E-01
-2.98E-01,-9.71E-02,-9.94E-01,-2.83E-01,-9.33E-02,-9.86E-01,-2.55E-01,-8.55E-02,-9.78E-01,-2.44E-01,-8.16E-02,-9.66E-01,-2.32E-01,-7.38E-02,-9.58E-01
-2.40E-01,-1.09E-01,-1.01E+00,-2.32E-01,-1.01E-01,-9.98E-01,-2.24E-01,-9.71E-02,-9.90E-01,-2.16E-01,-8.94E-02,-9.82E-01,-2.05E-01,-8.55E-02,-9.74E-01
-2.16E-01,-1.24E-01,-1.01E+00,-2.05E-01,-1.21E-01,-1.01E+00,-1.81E-01,-1.17E-01,-9.94E-01,-1.74E-01,-1.09E-01,-9.90E-01,-1.62E-01,-1.01E-01,-9.82E-01
-7.78E-01,-1.36E-01,-1.01E+00,-1.74E-01,-1.28E-01,-1.01E+00,-1.50E-01,-1.21E-01,-9.98E-01,-1.38E-01,-1.09E-01,-9.86E-01,-1.03E-01,3.11E-01,-1.55E-01
-5.17E-01,8.40E-01,2.66E-02,-5.09E-01,8.44E-01,3.84E-02,-5.05E-01,8.48E-01,5.42E-02,-4.97E-01,8.56E-01,7.39E-02,-4.90E-01,8.60E-01,8.57E-02
-5.05E-01,7.80E-03,-9.94E-01,-4.43E-01,1.95E-02,-9.54E-01,-4.08E-01,2.73E-02,-9.27E-01,-3.76E-01,5.06E-02,-8.91E-01,-3.41E-01,8.44E-01,1.09E-02
-4.58E-01,-3.80E-03,-9.66E-01,-4.39E-01,7.80E-03,-9.39E-01,-4.23E-01,1.95E-02,-9.23E-01,-4.04E-01,2.34E-02,-9.11E-01,-3.80E-01,4.28E-02,-8.88E-01
-5.01E-01,-1.15E-02,-9.70E-01,-4.54E-01,7.80E-03,-9.39E-01,-4.31E-01,1.95E-02,-9.19E-01,-4.11E-01,2.73E-02,-8.99E-01,-3.84E-01,4.28E-02,-8.64E-01
-5.68E-01,3.50E-02,-9.51E-01,-5.60E-01,8.56E-02,-8.76E-01,-5.52E-01,8.09E-01,3.84E-02,-4.43E-01,8.13E-01,6.21E-02,-3.53E-01,8.21E-01,7.79E-02
-4.47E-01,-3.80E-03,-1.04E+00,-3.92E-01,1.95E-02,-9.82E-01,-3.45E-01,2.73E-02,-9.47E-01,-2.83E-01,4.67E-02,-9.19E-01,-2.36E-01,7.01E-02,-8.91E-01
-4.11E-01,1.56E-02,-1.01E+00,-3.80E-01,2.34E-02,-9.74E-01,-3.41E-01,3.12E-02,-9.47E-01,-2.79E-01,4.67E-02,-9.31E-01,-2.24E-01,7.01E-02,-9.11E-01
-4.31E-01,7.80E-03,-9.54E-01,-4.27E-01,1.56E-02,-9.35E-01,-4.19E-01,1.95E-02,-9.27E-01,-4.04E-01,1.95E-02,-9.19E-01,-3.41E-01,2.73E-02,-9.11E-01
-4.31E-01,7.80E-03,-9.74E-01,-4.04E-01,1.56E-02,-9.58E-01,-3.69E-01,2.34E-02,-9.43E-01,-3.45E-01,3.12E-02,-9.27E-01,-3.18E-01,4.28E-02,-9.11E-01
-4.23E-01,7.80E-03,-9.70E-01,-4.00E-01,1.56E-02,-9.54E-01,-3.76E-01,2.34E-02,-9.43E-01,-3.53E-01,2.73E-02,-9.31E-01,-3.30E-01,3.89E-02,-9.15E-01
-4.11E-01,1.17E-02,-9.74E-01,-3.88E-01,1.95E-02,-9.58E-01,-3.61E-01,2.34E-02,-9.47E-01,-3.37E-01,3.12E-02,-9.35E-01,-3.10E-01,4.67E-02,-9.19E-01
-6.53E-01,-9.61E-01,-4.19E-01,-4.66E-01,-9.38E-01,-1.78E-01,-3.84E-01,-9.14E-01,-8.75E-02,-3.53E-01,7.39E-01,-5.21E-02,-2.98E-01,8.95E-01,3.06E-02
-3.80E-01,-9.41E-01,-8.36E-02,-3.72E-01,-9.38E-01,-7.18E-02,-3.65E-01,-9.34E-01,-6.00E-02,-3.57E-01,-9.26E-01,-4.81E-02,-3.49E-01,-9.18E-01,-3.63E-02
-3.80E-01,-9.41E-01,-9.15E-02,-3.72E-01,-9.38E-01,-7.57E-02,-3.65E-01,-9.30E-01,-6.39E-02,-3.57E-01,-9.26E-01,-4.81E-02,-3.49E-01,-9.18E-01,-4.03E-02
