TimeSec,mean_VM_GE_right,var_VM_GE_right,mean_GE_rightX,mean_GE_rightY,mean_GE_rightZ,Var_GE_rightX,Var_GE_rightY,Var_GE_rightZ,mean_ABS_GE_rightX,mean_ABS_GE_rightY,mean_ABS_GE_rightZ,var_ABS_GE_rightX,var_ABS_GE_rightY,var_ABS_GE_rightZ
30,0.999873312,0.000256859,-0.413134833,-0.714616333,-0.561629,0.002337512,0.000129313,0.000757592,0.413134833,0.714616333,0.561629,0.002337512,0.000129313,0.000757592
60,0.999807391,5.91E-05,-0.4460155,-0.709640167,-0.544841,0.000132447,5.17E-05,0.000119494,0.4460155,0.709640167,0.544841,0.000132447,5.17E-05,0.000119494
90,0.999874999,6.54E-05,-0.446484167,-0.708003833,-0.546704333,0.000128759,5.58E-05,0.000128105,0.446484167,0.708003833,0.546704333,0.000128759,5.58E-05,0.000128105
120,0.999775084,6.27E-05,-0.440468,-0.7090415,-0.550081167,0.000115938,4.72E-05,0.000108905,0.440468,0.7090415,0.550081167,0.000115938,4.72E-05,0.000108905
150,1.001065659,6.23E-05,-0.443387,-0.708023333,-0.551384,0.000118677,4.88E-05,0.000114312,0.443387,0.708023333,0.551384,0.000118677,4.88E-05,0.000114312
180,1.000322976,6.37E-05,-0.443696333,-0.708178667,-0.549609667,9.03E-05,5.35E-05,0.000112092,0.443696333,0.708178667,0.549609667,9.03E-05,5.35E-05,0.000112092
210,1.000160782,5.48E-05,-0.441540667,-0.707712667,-0.551645,9.82E-05,4.60E-05,0.000104924,0.441540667,0.707712667,0.551645,9.82E-05,4.60E-05,0.000104924
240,0.999983819,7.37E-05,-0.435634833,-0.707500167,-0.556111667,0.000213173,6.06E-05,0.000173768,0.435634833,0.707500167,0.556111667,0.000213173,6.06E-05,0.000173768
270,1.003186673,0.004924298,-0.322898167,-0.651359,-0.504233,0.116168493,0.059225214,0.053504691,0.452263167,0.687369667,0.544924667,0.015722337,0.010936221,0.010741445
300,1.000281437,0.000340028,-0.394183667,-0.7010795,-0.593125333,0.001352057,0.000387286,0.000475875,0.394183667,0.7010795,0.593125333,0.001352057,0.000387286,0.000475875
330,1.023631619,0.038803035,-0.376656667,0.079066833,-0.333621667,0.139362716,0.538780926,0.150372046,0.430752,0.643299167,0.407629333,0.095612759,0.130518235,0.095422206
360,1.003675241,0.005386096,-0.595415333,-0.1694325,-0.641025,0.069238289,0.010841856,0.138886066,0.595940667,0.174067167,0.707332667,0.068611385,0.009247192,0.049330356
390,1.004250862,0.002870508,-0.516155167,-0.2161015,-0.767950667,0.059986972,0.005230075,0.043485401,0.5190715,0.217078167,0.767950667,0.056962866,0.004806296,0.043485401
420,1.003361078,0.003466857,-0.401087,-0.240624667,-0.809848333,0.060275526,0.024424764,0.051095233,0.412086,0.240624667,0.809848333,0.051316504,0.024424764,0.051095233
450,0.999530796,0.001233116,-0.103435833,-0.162135667,-0.9793385,0.00208572,0.000751896,0.001371428,0.1040735,0.162135667,0.9793385,0.001953177,0.000751896,0.001371428
480,1.000938755,0.00077051,-0.885760833,-0.055941667,-0.448081333,0.009715804,0.00023804,0.004238823,0.888206833,0.055941667,0.448081333,0.005369435,0.00023804,0.004238823
510,1.000236929,0.000100647,-0.858276667,-0.055191333,-0.5103495,0.000125158,4.91E-05,0.000259294,0.858276667,0.055191333,0.5103495,0.000125158,4.91E-05,0.000259294
540,1.000334626,7.47E-05,-0.851473167,-0.055475833,-0.521699833,0.000142285,4.48E-05,0.000302864,0.851473167,0.055475833,0.521699833,0.000142285,4.48E-05,0.000302864
570,1.000208062,0.002082305,-0.385321667,-0.229229667,-0.805430833,0.080353449,0.032585194,0.040073525,0.387124,0.229229667,0.805430833,0.07895892,0.032585194,0.040073525
600,1.000743211,0.000415696,-0.090185333,-0.820796167,-0.437406667,0.048775472,0.040718369,0.039458725,0.198076,0.820796167,0.437406667,0.017622843,0.040718369,0.039458725
