VisitTime,AL_Ank_X_pTen,AL_Ank_X_pTwentyFive,AL_Ank_X_pFifty,AL_Ank_X_pSeventyFive,AL_Ank_X_pNinety,AL_Ank_X_cov,AL_Ank_Y_pTen,AL_Ank_Y_pTwentyFive,AL_Ank_Y_pFifty,AL_Ank_Y_pSeventyFive,AL_Ank_Y_pNinety,AL_Ank_Y_cov,AL_Ank_Z_pTen,AL_Ank_Z_pTwentyFive,AL_Ank_Z_pFifty,AL_Ank_Z_pSeventyFive,AL_Ank_Z_pNinety,AL_Ank_Z_cov
30,-0.96,-0.96,-0.96,-0.96,-0.96,0,-0.21,-0.21,-0.21,-0.21,-0.2,0,-0.29,-0.29,-0.29,-0.29,-0.28,0
60,-0.96,-0.96,-0.96,-0.96,-0.96,0,-0.21,-0.21,-0.21,-0.2,-0.2,0,-0.29,-0.29,-0.29,-0.29,-0.29,0
90,-0.97,-0.96,-0.96,-0.96,-0.95,0,-0.21,-0.21,-0.21,-0.2,-0.2,0,-0.3,-0.29,-0.29,-0.29,-0.28,0
120,-0.96,-0.96,-0.96,-0.96,-0.95,0,-0.21,-0.21,-0.21,-0.2,-0.2,0,-0.3,-0.29,-0.29,-0.29,-0.29,0
150,-0.96,-0.96,-0.96,-0.96,-0.95,0,-0.21,-0.21,-0.21,-0.2,-0.2,0,-0.3,-0.3,-0.29,-0.29,-0.29,0
180,-0.96,-0.96,-0.96,-0.96,-0.95,0,-0.21,-0.21,-0.21,-0.2,-0.2,0,-0.3,-0.3,-0.29,-0.29,-0.29,0
210,-0.96,-0.96,-0.96,-0.96,-0.95,0,-0.21,-0.21,-0.21,-0.2,-0.2,0,-0.3,-0.3,-0.29,-0.29,-0.29,0
240,-0.96,-0.96,-0.95,-0.95,-0.95,0,-0.21,-0.21,-0.2,-0.2,-0.2,0,-0.31,-0.31,-0.31,-0.31,-0.3,0
270,-0.96,-0.96,-0.95,-0.95,-0.95,0,-0.21,-0.21,-0.2,-0.2,-0.2,0,-0.31,-0.31,-0.31,-0.31,-0.31,0
300,-0.96,-0.96,-0.95,-0.95,-0.95,0,-0.21,-0.21,-0.2,-0.2,-0.2,0,-0.32,-0.31,-0.31,-0.31,-0.31,0
330,-0.96,-0.95,-0.95,-0.95,-0.95,0,-0.21,-0.21,-0.2,-0.2,-0.2,0,-0.32,-0.31,-0.31,-0.31,-0.31,0
360,-0.96,-0.95,-0.95,-0.95,-0.95,0,-0.21,-0.21,-0.2,-0.2,-0.2,0,-0.32,-0.32,-0.31,-0.31,-0.31,0
390,-0.96,-0.95,-0.95,-0.95,-0.95,0,-0.21,-0.21,-0.2,-0.2,-0.2,0,-0.32,-0.32,-0.31,-0.31,-0.31,0
420,-0.96,-0.95,-0.95,-0.95,-0.95,0,-0.21,-0.21,-0.2,-0.2,-0.2,0,-0.32,-0.32,-0.31,-0.31,-0.31,0
450,-0.96,-0.95,-0.95,-0.95,-0.95,0,-0.21,-0.21,-0.2,-0.2,-0.2,0,-0.32,-0.32,-0.32,-0.31,-0.31,0
480,-0.96,-0.95,-0.95,-0.95,-0.95,0,-0.21,-0.21,-0.2,-0.2,-0.2,0,-0.32,-0.32,-0.32,-0.31,-0.31,0
510,-0.96,-0.95,-0.95,-0.95,-0.95,0,-0.21,-0.21,-0.2,-0.2,-0.2,0,-0.32,-0.32,-0.32,-0.31,-0.31,0
540,-0.96,-0.95,-0.95,-0.95,-0.95,0,-0.21,-0.21,-0.2,-0.2,-0.2,0,-0.32,-0.32,-0.32,-0.31,-0.31,0
570,-0.96,-0.95,-0.95,-0.95,-0.95,0,-0.21,-0.2,-0.2,-0.2,-0.2,0,-0.32,-0.32,-0.32,-0.32,-0.31,0
600,-0.95,-0.95,-0.95,-0.95,-0.95,0,-0.21,-0.2,-0.2,-0.2,-0.2,0,-0.32,-0.32,-0.32,-0.32,-0.32,0
630,-0.95,-0.95,-0.95,-0.95,-0.95,0,-0.21,-0.21,-0.2,-0.2,-0.2,0,-0.32,-0.32,-0.32,-0.32,-0.32,0
660,-0.98,-0.96,-0.95,-0.95,-0.95,0,-0.29,-0.25,-0.21,-0.2,-0.2,0,-0.32,-0.32,-0.32,0.02,0.11,-0.01
690,-0.97,-0.05,0.17,0.25,0.41,0,-1.14,-0.97,-0.89,-0.8,-0.32,0,-0.57,-0.51,-0.48,-0.31,0.02,0
720,0.4,0.4,0.4,0.4,0.4,0,-0.83,-0.83,-0.82,-0.82,-0.81,0,-0.49,-0.48,-0.48,-0.47,-0.47,0
750,0.4,0.4,0.4,0.46,0.47,0,-0.83,-0.83,-0.82,-0.77,-0.77,0,-0.5,-0.5,-0.48,-0.47,-0.47,0
780,0.46,0.46,0.46,0.47,0.47,0,-0.77,-0.77,-0.77,-0.77,-0.76,0,-0.5,-0.5,-0.5,-0.5,-0.49,0
810,0.46,0.46,0.46,0.46,0.47,0,-0.78,-0.78,-0.77,-0.77,-0.77,0,-0.5,-0.5,-0.49,-0.49,-0.48,0
840,0.45,0.46,0.46,0.46,0.46,0,-0.79,-0.78,-0.78,-0.77,-0.77,0,-0.5,-0.5,-0.49,-0.48,-0.48,0
870,0.46,0.46,0.47,0.48,0.48,0,-0.78,-0.77,-0.77,-0.77,-0.77,0,-0.5,-0.49,-0.48,-0.48,-0.47,0
900,0.47,0.48,0.48,0.48,0.48,0,-0.78,-0.77,-0.77,-0.77,-0.77,0,-0.48,-0.48,-0.48,-0.47,-0.47,0
930,0.47,0.47,0.47,0.48,0.48,0,-0.78,-0.78,-0.78,-0.77,-0.77,0,-0.48,-0.48,-0.47,-0.47,-0.47,0
960,0.47,0.47,0.47,0.47,0.48,0,-0.79,-0.79,-0.78,-0.78,-0.77,0,-0.48,-0.48,-0.47,-0.47,-0.47,0
990,0.43,0.43,0.44,0.45,0.45,0,-0.86,-0.86,-0.85,-0.84,-0.84,0,-0.39,-0.38,-0.38,-0.37,-0.36,0
1020,0.07,0.07,0.08,0.09,0.45,0,-1,-0.99,-0.99,-0.98,-0.84,0,-0.45,-0.31,-0.3,-0.29,-0.29,0
1050,0.07,0.08,0.09,0.09,0.11,0,-0.99,-0.99,-0.98,-0.98,-0.98,0,-0.33,-0.33,-0.32,-0.31,-0.3,0
1080,-0.09,-0.08,0.04,0.1,0.11,0,-0.98,-0.98,-0.95,-0.86,-0.86,0,-0.6,-0.6,-0.45,-0.32,-0.32,0
1110,-0.06,-0.05,-0.04,-0.04,-0.04,0,-0.86,-0.86,-0.85,-0.85,-0.85,0,-0.62,-0.61,-0.61,-0.61,-0.6,0
1140,-0.06,-0.06,-0.06,-0.05,-0.05,0,-0.86,-0.86,-0.85,-0.85,-0.85,0,-0.62,-0.61,-0.61,-0.61,-0.61,0
1170,-0.07,-0.06,-0.06,-0.06,-0.06,0,-0.86,-0.85,-0.85,-0.85,-0.85,0,-0.62,-0.62,-0.61,-0.61,-0.61,0
1200,-0.07,-0.06,-0.06,-0.06,-0.06,0,-0.86,-0.85,-0.85,-0.85,-0.85,0,-0.62,-0.62,-0.62,-0.61,-0.61,0
1230,-0.07,-0.06,-0.06,-0.06,-0.06,0,-0.86,-0.85,-0.85,-0.85,-0.85,0,-0.62,-0.62,-0.62,-0.61,-0.61,0
1260,-0.07,-0.07,-0.06,-0.06,-0.06,0,-0.86,-0.85,-0.85,-0.85,-0.85,0,-0.62,-0.62,-0.62,-0.61,-0.61,0
