VisitTime,AL_Hip_X_pTen,AL_Hip_X_pTwentyFive,AL_Hip_X_pFifty,AL_Hip_X_pSeventyFive,AL_Hip_X_pNinety,AL_Hip_X_cov,AL_Hip_Y_pTen,AL_Hip_Y_pTwentyFive,AL_Hip_Y_pFifty,AL_Hip_Y_pSeventyFive,AL_Hip_Y_pNinety,AL_Hip_Y_cov,AL_Hip_Z_pTen,AL_Hip_Z_pTwentyFive,AL_Hip_Z_pFifty,AL_Hip_Z_pSeventyFive,AL_Hip_Z_pNinety,AL_Hip_Z_cov
30,0.91,0.91,0.91,0.92,0.92,0,0.2,0.2,0.21,0.21,0.21,0,0.38,0.38,0.38,0.39,0.39,0
60,0.91,0.91,0.91,0.92,0.92,0,0.2,0.2,0.21,0.21,0.21,0,0.38,0.38,0.38,0.39,0.39,0
90,0.91,0.91,0.91,0.92,0.92,0,0.2,0.2,0.2,0.21,0.21,0,0.38,0.38,0.38,0.39,0.39,0
120,0.91,0.91,0.91,0.92,0.92,0,0.2,0.2,0.2,0.21,0.21,0,0.38,0.38,0.38,0.39,0.39,0
150,0.91,0.91,0.91,0.92,0.92,0,0.2,0.2,0.2,0.21,0.21,0,0.38,0.38,0.39,0.39,0.39,0
180,0.91,0.91,0.91,0.92,0.92,0,0.2,0.2,0.2,0.21,0.21,0,0.38,0.38,0.39,0.39,0.39,0
210,0.91,0.91,0.91,0.92,0.92,0,0.2,0.2,0.2,0.21,0.21,0,0.38,0.38,0.39,0.39,0.39,0
240,0.91,0.91,0.91,0.92,0.92,0,0.2,0.2,0.2,0.2,0.21,0,0.39,0.39,0.39,0.39,0.4,0
270,0.91,0.91,0.91,0.92,0.92,0,0.2,0.2,0.2,0.2,0.21,0,0.39,0.39,0.39,0.39,0.4,0
300,0.91,0.91,0.91,0.92,0.92,0,0.2,0.2,0.2,0.21,0.21,0,0.39,0.39,0.39,0.4,0.4,0
330,0.91,0.91,0.91,0.92,0.92,0,0.2,0.2,0.2,0.2,0.21,0,0.39,0.39,0.39,0.4,0.4,0
360,0.91,0.91,0.91,0.91,0.92,0,0.2,0.2,0.2,0.2,0.21,0,0.39,0.39,0.39,0.4,0.4,0
390,0.91,0.91,0.91,0.91,0.92,0,0.2,0.2,0.2,0.21,0.21,0,0.39,0.39,0.39,0.4,0.4,0
420,0.91,0.91,0.91,0.91,0.92,0,0.2,0.2,0.2,0.21,0.21,0,0.39,0.39,0.39,0.39,0.4,0
450,0.91,0.91,0.91,0.92,0.92,0,0.2,0.2,0.2,0.2,0.21,0,0.39,0.39,0.39,0.4,0.4,0
480,0.91,0.91,0.91,0.91,0.92,0,0.2,0.2,0.2,0.2,0.21,0,0.39,0.39,0.39,0.4,0.4,0
510,0.91,0.91,0.91,0.91,0.92,0,0.2,0.2,0.2,0.2,0.21,0,0.39,0.39,0.4,0.4,0.4,0
540,0.91,0.91,0.91,0.91,0.92,0,0.19,0.2,0.2,0.2,0.2,0,0.39,0.39,0.4,0.4,0.41,0
570,0.91,0.91,0.91,0.91,0.92,0,0.19,0.19,0.2,0.2,0.2,0,0.4,0.4,0.4,0.4,0.4,0
600,0.91,0.91,0.91,0.91,0.92,0,0.19,0.19,0.2,0.2,0.2,0,0.4,0.4,0.4,0.4,0.41,0
630,0.91,0.91,0.91,0.91,0.92,0,0.19,0.19,0.2,0.2,0.2,0,0.39,0.4,0.4,0.4,0.41,0
660,0.91,0.91,0.91,0.92,0.92,0,0.19,0.19,0.19,0.2,0.2,0,0.38,0.39,0.4,0.4,0.4,0
690,-0.34,-0.09,0.16,0.26,0.72,0,0.21,0.82,0.95,0.97,1.02,0,-0.02,0.04,0.1,0.22,0.4,0
720,0.18,0.19,0.2,0.2,0.21,0,0.95,0.95,0.96,0.96,0.97,0,0.11,0.12,0.14,0.15,0.16,0
750,0.17,0.18,0.19,0.31,0.32,0,0.92,0.93,0.96,0.97,0.97,0,0.11,0.13,0.15,0.21,0.22,0
