VisitTime,AL_LW_X_pTen,AL_LW_X_pTwentyFive,AL_LW_X_pFifty,AL_LW_X_pSeventyFive,AL_LW_X_pNinety,AL_LW_X_cov,AL_LW_Y_pTen,AL_LW_Y_pTwentyFive,AL_LW_Y_pFifty,AL_LW_Y_pSeventyFive,AL_LW_Y_pNinety,AL_LW_Y_cov,AL_LW_Z_pTen,AL_LW_Z_pTwentyFive,AL_LW_Z_pFifty,AL_LW_Z_pSeventyFive,AL_LW_Z_pNinety,AL_LW_Z_cov
30,-0.06,-0.06,-0.06,-0.06,-0.05,0,0.97,0.97,0.97,0.97,0.97,0,0.08,0.09,0.09,0.09,0.09,0
60,-0.06,-0.06,-0.06,-0.05,-0.05,0,0.97,0.97,0.97,0.98,0.98,0,-0.02,-0.01,0,0.09,0.09,0
90,-0.06,-0.05,-0.05,-0.05,-0.05,0,0.97,0.97,0.98,0.98,0.98,0,-0.02,-0.02,-0.02,-0.01,-0.01,0
120,-0.05,-0.05,-0.05,-0.05,-0.04,0,0.97,0.97,0.98,0.98,0.98,0,-0.02,-0.02,-0.02,-0.01,-0.01,0
150,-0.05,-0.05,-0.05,-0.05,-0.04,0,0.97,0.97,0.98,0.98,0.98,0,-0.02,-0.02,-0.02,-0.02,-0.02,0
180,-0.06,-0.05,-0.05,-0.05,-0.04,0,0.97,0.97,0.98,0.98,0.98,0,-0.02,-0.02,-0.02,-0.02,-0.02,0
210,-0.06,-0.06,-0.05,-0.05,-0.04,0,0.97,0.97,0.97,0.98,0.98,0,-0.02,-0.02,-0.02,0.04,0.04,0
240,-0.06,-0.06,-0.06,-0.05,-0.05,0,0.97,0.97,0.97,0.97,0.98,0,0.04,0.04,0.04,0.05,0.05,0
270,-0.06,-0.06,-0.06,-0.06,-0.05,0,0.97,0.97,0.97,0.97,0.98,0,0.04,0.04,0.04,0.04,0.05,0
300,-0.06,-0.06,-0.06,-0.06,-0.06,0,0.97,0.97,0.97,0.97,0.98,0,0.04,0.04,0.04,0.05,0.05,0
330,-0.11,-0.11,-0.1,-0.09,-0.06,0,0.93,0.93,0.93,0.93,0.97,0,0.04,0.23,0.24,0.24,0.25,0
360,-0.11,-0.1,-0.1,-0.1,-0.09,0,0.93,0.93,0.93,0.93,0.93,0,0.23,0.23,0.23,0.24,0.24,0
390,-0.11,-0.1,-0.1,-0.06,-0.06,0,0.55,0.93,0.93,0.95,0.96,0,0.16,0.16,0.23,0.23,0.24,0
420,-0.06,-0.06,-0.06,-0.06,-0.06,0,0.95,0.95,0.95,0.96,0.96,0,0.16,0.16,0.16,0.16,0.16,0
450,-0.07,-0.07,-0.06,-0.06,-0.06,0,0.95,0.96,0.97,0.97,0.97,0,0.09,0.09,0.09,0.1,0.16,0
480,-0.07,-0.07,-0.07,-0.06,-0.06,0,0.96,0.97,0.97,0.97,0.97,0,0.09,0.09,0.09,0.09,0.1,0
510,-0.07,-0.07,-0.07,-0.06,-0.06,0,0.96,0.97,0.97,0.97,0.97,0,0.09,0.09,0.09,0.09,0.09,0
540,-0.07,-0.07,-0.07,-0.06,0.54,0,0.59,0.95,0.97,0.97,0.97,0,0.08,0.09,0.09,0.15,0.22,0
570,-0.07,-0.07,-0.07,-0.07,-0.07,0,0.94,0.94,0.94,0.95,0.95,0,0.19,0.19,0.19,0.2,0.2,0
600,-0.07,-0.07,-0.07,-0.07,-0.07,0,0.94,0.94,0.95,0.95,0.95,0,0.18,0.18,0.19,0.19,0.19,0
630,0,0,0,0,0,0,0.95,0.95,0.96,0.96,0.96,0,0.17,0.17,0.18,0.18,0.19,0
