VisitTime,AL_RW_X_pTen,AL_RW_X_pTwentyFive,AL_RW_X_pFifty,AL_RW_X_pSeventyFive,AL_RW_X_pNinety,AL_RW_X_cov,AL_RW_Y_pTen,AL_RW_Y_pTwentyFive,AL_RW_Y_pFifty,AL_RW_Y_pSeventyFive,AL_RW_Y_pNinety,AL_RW_Y_cov,AL_RW_Z_pTen,AL_RW_Z_pTwentyFive,AL_RW_Z_pFifty,AL_RW_Z_pSeventyFive,AL_RW_Z_pNinety,AL_RW_Z_cov
30,0.13,0.13,0.13,0.14,0.14,0,0.79,0.79,0.79,0.79,0.8,0,0.52,0.53,0.53,0.54,0.54,0
60,0.09,0.09,0.13,0.13,0.14,0,0.79,0.8,0.81,0.97,0.97,0,0.06,0.06,0.52,0.52,0.53,0
90,0.09,0.09,0.09,0.09,0.1,0,0.97,0.97,0.97,0.97,0.98,0,0.04,0.05,0.05,0.05,0.05,0
120,0.09,0.09,0.09,0.09,0.1,0,0.97,0.97,0.97,0.98,0.98,0,0.04,0.04,0.04,0.04,0.05,0
150,0.09,0.09,0.1,0.1,0.1,0,0.97,0.97,0.97,0.98,0.98,0,0.04,0.04,0.05,0.05,0.05,0
180,0.09,0.09,0.1,0.1,0.1,0,0.97,0.97,0.97,0.97,0.98,0,0.05,0.05,0.05,0.06,0.06,0
210,0.09,0.1,0.1,0.1,0.1,0,0.97,0.97,0.97,0.97,0.98,0,0.05,0.05,0.05,0.06,0.06,0
240,0.1,0.1,0.1,0.1,0.1,0,0.97,0.97,0.97,0.97,0.98,0,0.05,0.05,0.05,0.06,0.06,0
270,0.1,0.1,0.1,0.1,0.1,0,0.97,0.97,0.97,0.97,0.98,0,0.05,0.05,0.05,0.06,0.06,0
300,0.09,0.1,0.1,0.1,0.1,0,0.97,0.97,0.97,0.98,0.98,0,0.04,0.05,0.05,0.05,0.05,0
330,0.1,0.1,0.1,0.1,0.11,0,0.97,0.97,0.97,0.97,0.98,0,0.05,0.05,0.07,0.07,0.08,0
360,0.1,0.1,0.1,0.1,0.1,0,0.97,0.97,0.97,0.97,0.98,0,0.05,0.05,0.06,0.06,0.07,0
390,0.1,0.1,0.1,0.1,0.1,0,0.97,0.97,0.97,0.97,0.98,0,0.05,0.05,0.05,0.05,0.06,0
420,0.1,0.1,0.1,0.1,0.1,0,0.97,0.97,0.97,0.98,0.98,0,0.04,0.04,0.04,0.05,0.05,0
450,0.09,0.1,0.1,0.1,0.1,0,0.97,0.97,0.97,0.98,0.98,0,0.03,0.03,0.04,0.04,0.04,0
480,0.09,0.1,0.1,0.1,0.1,0,0.97,0.97,0.98,0.98,0.98,0,0.02,0.03,0.03,0.03,0.04,0
510,0.07,0.07,0.07,0.1,0.1,0,0.96,0.97,0.97,0.97,0.98,0,-0.21,-0.2,-0.19,0.02,0.03,-0.01
540,-0.41,0.07,0.07,0.09,0.12,0,0.43,0.96,0.97,0.97,0.98,0,-0.22,-0.21,-0.21,-0.09,0.02,0
570,0.11,0.11,0.11,0.11,0.12,0,0.97,0.97,0.98,0.98,0.98,0,-0.09,-0.09,-0.09,-0.08,-0.06,0
600,0.11,0.11,0.11,0.11,0.11,0,0.97,0.97,0.98,0.98,0.98,0,-0.1,-0.09,-0.09,-0.09,-0.09,0
630,0.13,0.13,0.13,0.14,0.14,0,0.97,0.97,0.97,0.98,0.98,0,0,0.01,0.02,0.02,0.02,0
660,0.13,0.13,0.13,0.13,0.14,0,0.97,0.97,0.97,0.98,0.98,0,0,0.01,0.02,0.02,0.02,0
690,-0.06,0.01,0.22,0.91,1.06,0,0.07,0.23,0.65,0.75,0.97,0.01,-0.16,-0.02,0.12,0.62,0.7,0
720,0.04,0.07,0.07,0.08,0.1,0,0.47,0.48,0.5,0.51,0.54,0,0.78,0.81,0.82,0.83,0.84,0
750,0.04,0.05,0.07,0.08,0.09,0,0.48,0.49,0.5,0.51,0.52,0,0.81,0.81,0.82,0.83,0.84,0
780,0.02,0.03,0.04,0.05,0.06,0,0.48,0.48,0.5,0.5,0.51,0,0.82,0.82,0.83,0.83,0.84,0
810,0,0.02,0.03,0.03,0.04,0,0.47,0.49,0.5,0.5,0.52,0,0.81,0.82,0.82,0.83,0.84,0
840,0,0.01,0.02,0.02,0.03,0,0.48,0.49,0.5,0.5,0.51,0,0.81,0.82,0.83,0.83,0.84,0
870,-0.02,-0.02,0,0,0.01,0,0.47,0.48,0.49,0.5,0.5,0,0.82,0.83,0.83,0.84,0.84,0
900,-0.02,-0.01,-0.01,0,0,0,0.43,0.44,0.47,0.47,0.47,0,0.84,0.84,0.85,0.86,0.86,0
930,-0.03,-0.02,-0.02,-0.01,0,0,0.43,0.44,0.45,0.46,0.47,0,0.84,0.85,0.85,0.86,0.86,0
960,-0.05,-0.03,-0.03,-0.02,-0.01,0,0.43,0.44,0.45,0.46,0.47,0,0.84,0.85,0.85,0.86,0.87,0
990,-0.05,-0.03,-0.03,-0.02,0,0,0.43,0.44,0.45,0.47,0.48,0,0.83,0.84,0.85,0.86,0.87,0
1020,0.29,0.98,0.99,0.99,1,0,0.11,0.13,0.14,0.17,0.45,0,0.06,0.06,0.07,0.1,0.67,0
1050,0.98,0.99,0.99,0.99,1,0,0.14,0.15,0.15,0.16,0.16,0,0.03,0.04,0.04,0.04,0.05,0
1080,0.11,0.19,0.94,0.99,1,0,0.14,0.15,0.16,0.63,0.68,0,-0.02,0.02,0.04,0.7,0.71,0
1110,0.11,0.13,0.14,0.15,0.15,0,0.65,0.66,0.67,0.68,0.68,0,0.66,0.67,0.68,0.68,0.7,0
1140,0.09,0.09,0.1,0.11,0.11,0,0.7,0.7,0.7,0.71,0.72,0,0.63,0.64,0.65,0.65,0.65,0
1170,0.08,0.09,0.09,0.1,0.11,0,0.7,0.71,0.72,0.72,0.72,0,0.62,0.63,0.63,0.64,0.65,0
1200,0.07,0.08,0.09,0.22,0.23,0,0.63,0.64,0.72,0.73,0.73,0,0.61,0.62,0.63,0.68,0.69,0
1230,0.22,0.22,0.22,0.23,0.23,0,0.65,0.65,0.66,0.66,0.66,0,0.66,0.66,0.67,0.68,0.68,0
1260,0.22,0.22,0.23,0.24,0.25,0,0.66,0.66,0.66,0.67,0.67,0,0.65,0.65,0.66,0.67,0.67,0
1290,0.23,0.23,0.23,0.24,0.25,0,0.67,0.68,0.68,0.68,0.69,0,0.63,0.64,0.64,0.65,0.65,0
1320,0.23,0.24,0.24,0.25,0.25,0,0.68,0.68,0.69,0.7,0.7,0,0.62,0.63,0.63,0.64,0.64,0
1350,0.24,0.24,0.24,0.25,0.25,0,0.69,0.7,0.7,0.7,0.7,0,0.62,0.62,0.62,0.62,0.63,0
1380,0.23,0.23,0.24,0.25,0.25,0,0.68,0.69,0.7,0.7,0.71,0,0.61,0.62,0.62,0.63,0.63,0
1410,0.35,0.95,0.97,0.97,0.98,-0.01,0.05,0.07,0.15,0.16,0.68,-0.04,0.13,0.18,0.2,0.22,0.3,0
1440,0.79,0.79,0.79,0.83,0.97,0,0.05,0.45,0.6,0.61,0.61,0,-0.21,-0.2,-0.19,-0.09,0.19,0
1470,0.6,0.79,0.79,0.8,0.81,0,0.57,0.59,0.6,0.61,0.77,-0.01,-0.26,-0.24,-0.22,-0.22,-0.2,0
1500,0.62,0.63,0.98,1,1,-0.01,0.09,0.11,0.14,0.74,0.75,-0.03,-0.3,-0.29,-0.11,-0.03,-0.02,-0.01
1530,0.84,0.85,0.99,1,1,0.02,0.12,0.13,0.18,0.41,0.42,0,-0.4,-0.39,-0.06,-0.05,-0.04,0.05
1560,-0.5,-0.39,-0.03,0.98,0.99,-0.17,0.07,0.17,0.2,0.57,0.74,0.01,-0.91,-0.84,-0.06,-0.04,0.71,-0.03
1590,-0.52,-0.42,0.61,0.69,0.69,0.02,0.38,0.52,0.64,0.66,0.86,0,-0.86,-0.61,-0.41,-0.39,-0.11,-0.01
1620,0.75,0.77,0.78,0.79,0.8,0,0.57,0.59,0.6,0.61,0.63,0,-0.29,-0.27,-0.25,-0.24,-0.22,0
1650,0.77,0.78,0.78,0.79,0.79,0,0.58,0.59,0.59,0.6,0.61,0,-0.28,-0.27,-0.26,-0.25,-0.25,0
1680,0.78,0.78,0.79,0.79,0.8,0,0.57,0.58,0.59,0.6,0.6,0,-0.29,-0.29,-0.27,-0.26,-0.25,0
1710,0.74,0.75,0.78,0.79,0.79,0,0.58,0.59,0.59,0.61,0.62,0,-0.37,-0.34,-0.29,-0.27,-0.26,0
1740,0.74,0.75,0.75,0.75,0.76,0,0.57,0.58,0.59,0.6,0.61,0,-0.4,-0.38,-0.37,-0.36,-0.35,0
1770,0.73,0.75,0.75,0.77,0.79,0,0.56,0.58,0.6,0.61,0.63,0,-0.38,-0.36,-0.34,-0.32,-0.29,0
1800,0.8,0.92,0.97,0.98,0.98,0,0.19,0.2,0.23,0.4,0.55,0,-0.32,0.01,0.07,0.09,0.15,0
1830,0.77,0.78,0.79,0.86,1,0.01,0.15,0.34,0.56,0.57,0.59,0.01,-0.34,-0.34,-0.32,-0.27,-0.02,-0.02
1860,-0.19,-0.03,0.22,0.63,1.04,0.01,0.18,0.45,0.7,0.94,1.14,0.01,-0.81,-0.5,-0.12,0.4,0.66,0.02
1890,-0.35,-0.01,0.41,0.82,1.09,-0.03,0.09,0.37,0.63,0.87,1.11,0,-0.9,-0.57,-0.14,0.32,0.62,-0.05
1920,-0.32,-0.1,0.38,0.82,1.01,0.02,0.18,0.38,0.59,0.87,1.09,0,-0.82,-0.56,-0.25,0.04,0.43,-0.04
1950,-0.32,-0.06,0.42,0.8,1.11,0.06,0.14,0.38,0.66,0.89,1.12,-0.01,-0.76,-0.47,-0.24,0.02,0.29,0
1980,-0.44,0,0.38,0.82,1.13,0.08,-0.01,0.33,0.66,0.89,1.14,0.03,-0.8,-0.5,-0.16,0.21,0.51,0.01
2010,-0.18,0.25,0.76,1,1.19,-0.03,0.01,0.16,0.36,0.8,1.06,-0.01,-0.61,-0.35,-0.01,0.18,0.65,0
2040,-0.31,-0.02,0.25,0.6,1.01,-0.01,0.1,0.34,0.73,0.95,1.18,-0.01,-0.96,-0.56,-0.04,0.24,0.51,-0.01
2070,-0.31,0.1,0.55,0.86,1.15,0.05,-0.15,0.12,0.45,0.79,1.1,0,-0.91,-0.61,-0.12,0.37,0.72,-0.05
2100,-0.53,-0.12,0.25,0.75,1.09,-0.09,0.1,0.32,0.61,0.85,1.12,-0.01,-0.89,-0.57,-0.12,0.23,0.59,-0.04
2130,-0.36,0.19,0.65,0.92,1.16,-0.04,-0.04,0.17,0.48,0.75,0.99,0.01,-0.7,-0.29,-0.03,0.38,0.72,0.06
2160,-0.29,0.06,0.45,0.85,1.11,-0.05,0,0.24,0.5,0.77,1,-0.01,-1.13,-0.78,-0.3,0.29,0.75,0.01
2190,-0.13,0.61,0.98,1,1.02,0,0.01,0.18,0.22,0.54,0.89,0,-0.46,-0.23,-0.06,-0.03,0.07,0
2220,0.98,0.99,0.99,1,1,0,0.07,0.15,0.16,0.17,0.18,0.01,-0.08,-0.07,-0.06,-0.05,-0.05,0
2250,-0.41,-0.1,-0.05,0.18,1.01,0.01,0.16,0.51,0.58,0.74,0.97,0.01,-0.18,-0.04,0.14,0.75,0.78,0.01
2280,-0.31,-0.14,0.11,0.45,0.73,-0.01,0.04,0.46,0.84,1.2,1.5,-0.02,-1,-0.82,-0.57,-0.32,-0.05,0
2310,-0.38,-0.15,0.03,0.45,0.66,-0.04,0.32,0.68,0.88,1,1.29,-0.01,-0.75,-0.52,-0.21,0.02,0.15,-0.02
2340,0.15,0.53,0.87,1.06,1.18,0.03,0.26,0.4,0.57,0.86,1.11,0.01,-0.56,-0.29,-0.05,0.14,0.32,-0.03
2370,-0.29,-0.15,0.09,0.4,0.73,0.02,0.14,0.55,0.83,1.07,1.38,-0.01,-0.98,-0.77,-0.51,-0.26,0.09,0
2400,0.49,0.72,0.95,1.13,1.27,0.01,0.17,0.35,0.53,0.75,0.96,-0.01,-0.45,-0.28,-0.08,0.11,0.3,0
2430,-0.29,-0.09,0.15,0.42,0.79,0.02,0.14,0.5,0.83,1.12,1.43,-0.03,-0.98,-0.79,-0.56,-0.34,-0.13,0.01
2460,-0.07,0.33,0.74,1.02,1.21,0.04,0.12,0.36,0.65,0.95,1.26,-0.01,-0.85,-0.57,-0.25,0,0.23,-0.03
2490,-0.35,-0.14,0.12,0.38,0.84,-0.03,0.16,0.5,0.79,1.08,1.4,-0.01,-1.08,-0.81,-0.49,-0.14,0.12,0
2520,-0.36,-0.12,0.4,0.87,1.09,0.04,0.19,0.45,0.71,0.96,1.26,0,-0.9,-0.59,-0.17,0.11,0.34,-0.01
2550,-0.36,0.07,0.56,0.93,1.09,-0.03,0.31,0.45,0.64,0.92,1.14,-0.01,-0.55,-0.35,-0.12,0.12,0.33,-0.02
