Participant,TimeSec,Mean_APthighX,Mean_APthighY,Mean_APthighZ,Var_APthighX,Var_APthighY,Var_APthighZ
1,30,106.2,127.8,182.4,0.2,0.2,0.2
1,60,106,128,182,0,0,0
1,90,106,128,182,0,0,0
1,120,106.4,128,182.4,0.2,0,0.2
1,150,106.6,128,182.4,0.2,0,0.2
1,180,106.3,128,182,0.2,0,0
1,210,106.9,128,182,0.1,0,0
1,240,106.6,128,182.4,0.2,0,0.2
1,270,107,128.8,182,0,1,0
1,300,106.5,128,182,0.2,0,0
1,330,78.1,119.5,154.5,421.2,130,270.1
1,360,81.4,118.1,160.7,700,46.5,48
1,390,81,118.7,161,673.4,50.8,44.2
1,420,82.2,118.6,161.5,694.8,54.3,36.9
1,450,82.4,118.5,161.6,689.3,54.5,34.6
1,480,82,118.7,161.7,679.4,55.9,34.1
1,510,81.6,118.8,161.8,698.8,70,41.1
1,540,81.9,118.7,161.7,677.3,54.5,38.3
1,570,81.9,118.1,161.4,725.2,59.5,38.7
1,600,81.6,118.4,161.6,721.3,65.5,39.7
1,630,70.1,124.9,120,419.7,296.9,563.2
1,660,65.1,124.3,112.7,11.4,145,39.6
1,690,65.1,125.7,112.6,10.8,144,41.6
1,720,64.6,124.1,115,39.2,190.8,90.5
1,750,65.1,124.2,112.3,17.8,127,52.8
1,780,65.6,122,112.2,15.7,137.7,56.1
1,810,66.1,121.2,109.6,8.4,134.3,37.9
1,840,65.2,123.6,114.5,56.9,193.3,78.3
1,870,64.8,124.2,113.7,15.9,96.9,75.1
1,900,65.1,125.2,114.2,34,156.5,84.5
1,930,65.8,127.5,104.8,64.4,57.3,56.3
1,960,67.1,127.8,101.5,3.3,9.6,8.4
1,990,66.6,128,102.4,0.3,0,0.5
1,1020,66.3,128.7,103.4,0.2,0.2,0.2
1,1050,66,128.2,102.6,0,0.1,0.2
1,1080,66,128.6,103.6,0,0.2,0.3
1,1110,66.4,129,103.2,0.2,0,1
1,1140,66.4,129,103.1,0.2,0,0.1
1,1170,66,128.8,102.2,0,0.5,0.1
1,1200,66,128.9,102.7,0,0.6,0.2
1,1230,65.3,127.5,108,143.6,137.6,128.3
1,1260,65.8,125.9,108.4,5.9,31,100.2
1,1290,65.9,126.1,106.2,9.2,43.1,56.3
1,1320,65.4,126.4,108.9,10,53.4,54.7
1,1350,65.2,127.2,107.3,6.3,31.7,31.2
1,1380,65.6,125.4,109,9.2,62.7,67.3
1,1410,65.8,126.8,107,17.5,43.6,67.7
1,1440,65.1,126.5,109,19.9,57.5,79.5
1,1470,66,124.4,107.3,12.5,50.8,78.8
1,1500,65.7,125.8,106.2,10.9,48.5,41.3
1,1530,66,127,102.9,5.4,12.8,9.1
1,1560,66.4,126.9,103,0.2,0.1,0
1,1590,66,126,103,0,0,0
1,1620,65.8,127.5,104,0.6,1.9,2.8
1,1650,65.7,127.4,103.3,0.2,0.2,0.2
1,1680,66.5,127.4,104,0.2,0.2,0.8
1,1710,66.4,126.6,103.9,0.6,0.9,2.6
1,1740,65.7,127,105.2,0.7,0.5,8.5
1,1770,66.2,127,103.7,0.5,2.9,5
1,1800,66,128,105.1,0.2,0.2,1.5
1,1830,120.2,120.9,174.4,520.5,147.4,501.6
1,1860,117.2,128,185,0.1,0,0
1,1890,118,128,185,0,0,0
1,1920,117.7,128,185,0.2,0,0
1,1950,117.9,128,185,0.1,0,0
1,1980,117.6,128,185,0.2,0,0
1,2010,118,128,185,0,0,0
1,2040,117.6,128,184.9,0.2,0,0.1
1,2070,117.6,128,184.4,0.2,0,0.2
1,2100,117.6,128,184.4,0.2,0,0.2
1,2130,81,121,136.8,648.8,202.5,978
1,2160,71.2,117.4,130.4,77.9,71.7,618.4
1,2190,71.6,115.8,129.5,80.5,62.9,614.3
1,2220,71.5,116,132.6,81.8,85,550.1
1,2250,72.3,113.8,131,87,66.4,604.5
1,2280,72.1,114.5,130.4,88.3,67,605
1,2310,86.2,123.1,153.2,580,187.9,1156.9
1,2340,104.2,127,181.6,1,0,0.2
1,2370,104.2,127,181.6,0.1,0,0.2
1,2400,104.3,127.4,181.2,2,0.9,0.3
1,2430,101.3,125.2,179.9,0.6,1.4,0.2
1,2460,99.6,127,179.7,0.2,0,0.2
1,2490,100.4,126.6,180,0.2,0.2,0
1,2520,100,127,180,0,0,0
1,2550,103.4,126.6,180.5,9.7,0.5,1.1
1,2580,106,127.2,182,0,0.2,0
1,2610,75.4,127.8,132.4,564.4,145.7,1109.8
1,2640,63.6,129.9,113.8,799.5,278.7,518.7
1,2670,66.4,125.1,106.4,12.9,55.7,87.7
1,2700,64.2,130.4,112.5,604.1,179.3,400.5
1,2730,64.1,131.2,114.3,857.2,280,419.1
1,2760,63.3,130.5,113.7,641.3,307.8,334.3
1,2790,63.5,131,113.4,433.4,242,308.9
1,2820,63.5,130.5,112.8,405.4,263.2,305.7
1,2850,63.5,130.7,113.4,458.2,282,311.3
